Curriculum,AANS - Animal Science (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,01.0901
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,ANS 123 Animal Growth & Devel,ANS,123,22;23,"","",4,,,12
2,NPB 130 Endocrinology,NPB,130,23,"","",4,,,10
3,ANS 106 Animal Behavior Lab,ANS,106,24,"","",3,,,11
4,ANS 143 Pig & Poultry Care & Mgt,ANS,143,27;23;7,"","",4,,,10
5,ANS 001 Domestic Anim & People,ANS,001,"","","",4,,,1
6,ANS 002 Intro Animal Sci,ANS,002,"","","",4,,,3
7,ANS 041 Domestic Anim Prod,ANS,041,"","","",2,,,4
8,ANS 041L Domestic Animal Prod Lab,ANS,041L,"",7,"",2,,,5
9,BIS 002A Introduction to Biology,BIS,002A,"","","",5,,,4
10,BIS 002B Introduction to Biology,BIS,002B,"","","",5,,,5
11,BIS 002C Introduction to Biology,BIS,002C,10,"","",5,,,6
12,CHE 002A General Chemistry,CHE,002A,"","","",5,,,1
13,CHE 002B General Chemistry,CHE,002B,12,"","",5,,,2
14,CHE 008A Organic Chemistry-Brief,CHE,008A,13,"","",2,,,4
15,CHE 008B Organic Chemistry-Brief,CHE,008B,14,"","",4,,,5
16,MAT 016A Short Calculus,MAT,016A,"","","",3,,,2
17,MAT 016B Short Calculus,MAT,016B,16,"","",3,,,3
18,STA 100 Applied Stat for Bio Sci,STA,100,17,"","",4,,,6
19,BIS 101 Genes & Gene Expression,BIS,101,9;10;14;18,"","",4,,,8
20,ANG 107 Genetics & Anim Breeding,ANG,107,19,"","",5,,,10
21,ABI 102 Animal Biochem & Metabol,ABI,102,12,"","",5,,,7
22,ABI 103 Animal Biochem & Metabol,ABI,103,21,"","",5,,,8
23,ANS 100 Animal Physiology,ANS,100,9;13,"","",5,,,9
24,ANS 104 Domestic Animal Behavior,ANS,104,10,"","",4,,,9
25,ANS 150 Animal Health & Disease,ANS,150,10,"","",4,,,12
26,ANS 170 Ethics of Animal Use,ANS,170,29,"","",4,,,9
27,NUT 115 Animal Nutrition,NUT,115,15,"","",4,,,8
28,NUT 141 Comp Nut & Metabolism,NUT,141,22,"","",4,,,10
29,ENL 003 Intro To Literature,ENL,003,"","","",4,,,3
