Curriculum,AEHF - Environmental Horticulture and Urban Forestry (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,03.9999
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,ENH 100 Urban Forestry,ENH,100,6,"","",4,,,7
2,ENH 133 Woody Plants:  Mgmt,ENH,133,11,"","",4,,,8
3,ABT 165 Irrig for Urban Envir,ABT,165,16,"","",3,,,8
4,PLS 162 Urban Ecology,PLS,162,"","","",3,,,11
5,LDA 150 Intro to GIS,LDA,150,"","","",4,,,12
6,ENH 001 Envir Hort/Urban Forest,ENH,001,"","","",3,,,4
7,ENH 006 Intro Environ Plant,ENH,006,"","","",4,,,4
8,LDA 030 History Environ Design,LDA,030,"","","",4,,,5
9,BIS 002B Introduction to Biology,BIS,002B,"","","",5,,,4
10,BIS 002A Introduction to Biology,BIS,002A,"","","",5,,,3
11,PLS 002 Bot Physiol Cultiv Plant,PLS,002,"","","",4,,,4
12,PLS 021 Computers in Technology,PLS,021,"","","",3,,,3
13,CHE 002A General Chemistry,CHE,002A,"","","",5,,,1
14,CHE 002B General Chemistry,CHE,002B,13,"","",5,,,3
15,ESP 010 Current Issues Environ,ESP,010,"","","",4,,,5
16,PHY 001A Principles Physics,PHY,001A,"","","",3,,,5
17,PHY 001B Principles Physics,PHY,001B,16,"","",3,,,8
18,MAT 016A Short Calculus,MAT,016A,"","","",3,,,2
19,UWP 104E Writing in Science,UWP,104E,29,"","",4,,,9
20,PLS 100A Plant Metabolic Process,PLS,100A,11,"","",3,,,7
21,PLS 100AL Plant Metab Process Lab,PLS,100AL,"",20,"",2,,,0
22,ENH 105 Taxon & Ecol Env Plants,ENH,105,7,"","",4,,,9
23,PLS 150 Agroecosystem Management,PLS,150,30;13;11,"","",4,,,12
24,PLS 171 Plant Propagation,PLS,171,11,"","",4,,,9
25,SSC 100 Principles Soil Sci,SSC,100,"","","",5,,,10
26,PLP 120 Intro Plant Path,PLP,120,31,"","",4,,,8
27,PLS 105 Concepts in Pest Mgt,PLS,105,32;9,"","",3,,,10
28,PLS 192 Internship,PLS,192,"","","",12,,,9
29,UWP 001 Academic Literacies,UWP,001,"","","",4,,,6
30,SSC 010 Soils in Our Environment,SSC,010,"","","",4,,,1
31,BIS 002C Introduction to Biology,BIS,002C,9,"","",5,,,5
32,CHE 008B Organic Chemistry-Brief,CHE,008B,33,"","",4,,,7
33,CHE 008A Organic Chemistry-Brief,CHE,008A,14,"","",2,,,6
