Curriculum,AFPS - Fiber and Polymer Science (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,19.0901
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,CHE 002C General Chemistry,CHE,002C,2,"","",5,,,3
2,CHE 002B General Chemistry,CHE,002B,3,"","",5,,,2
3,CHE 002A General Chemistry,CHE,002A,"","","",5,,,0
4,MAT 021B Calculus,MAT,021B,5,"","",4,,,2
5,MAT 021A Calculus,MAT,021A,"","","",4,,,1
6,MAT 021C Calculus,MAT,021C,4,"","",4,,,4
7,PHY 007B General Physics,PHY,007B,9,"","",4,,,6
8,PHY 007C General Physics,PHY,007C,7,"","",4,,,7
9,PHY 007A General Physics,PHY,007A,"",4,"",4,,,5
10,STA 013 Elementary Statistics,STA,013,"","","",4,,,3
11,ENG 045 Properties of Materials,ENG,045,6;3;32,"","",4,,,0
12,TXC 163 Textile Coloration,TXC,163,33;34,"","",3,,,6
13,TXC 163L Textile Color Lab,TXC,163L,"",12,"",1,,,6
14,FPS 161 Struct & Prop of Fibers,FPS,161,33;34,"","",3,,,7
15,FPS 180A Intro Res Polymer Sci,FPS,180A,"","","",2,,,10
16,FPS 180B Intro Res Polymer Sci,FPS,180B,"","","",2,,,11
17,CHE 128B Organic Chemistry,CHE,128B,18,"","",3,,,0
18,CHE 128A Organic Chemistry,CHE,128A,1,"","",3,,,0
19,CHE 128C Organic Chemistry,CHE,128C,17,"","",3,,,0
20,CHE 129A Organic Chem Lab,CHE,129A,1,18,"",2,,,0
21,CHE 129B Organic Chem Lab,CHE,129B,20,17,"",2,,,0
22,CHE 107B Phys Chem Life Sci,CHE,107B,23,"","",3,,,9
23,CHE 107A Physical Chem Life Sci,CHE,107A,1;6;8,"","",3,,,8
24,TXC 174 Textile World Trade,TXC,174,35,"","",4,,,8
25,PLS 021 Computers in Technology,PLS,021,"","","",3,,,6
26,ECN 001A Princ Of Microecon,ECN,001A,"","","",5,,,10
27,ECN 001B Princ Of Macroecon,ECN,001B,"","","",5,,,0
28,CHE 124A Inorg Fundamentals,CHE,124A,1,"","",3,,,7
29,CHE 124B Inorg Main Group,CHE,124B,28,"","",3,,,11
30,STA 103 Applied Statistics,STA,103,10;4,"","",4,,,0
31,ARE 100A Intermed Microeconomics,ARE,100A,4,"","",4,,,0
32,PHY 009A Classical Physics,PHY,009A,4,"","",5,,,0
33,TXC 006 Introd Textiles,TXC,006,"","","",4,,,1
34,CHE 008B Organic Chemistry-Brief,CHE,008B,18,"","",4,,,0
35,TXC 008 Textile Apparel Ind,TXC,008,"","","",4,,,4
