Curriculum,AIAD - International Agricultural Development (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,01.0701
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,BIS 002A Introduction to Biology,BIS,002A,"","","",5,,,4
2,BIS 002B Introduction to Biology,BIS,002B,"","","",5,,,6
3,ESP 001 Environmental Analysis,ESP,001,"",29,"",4,,,7
4,PLS 150 Agroecosystem Management,PLS,150,11;30;10,"","",4,,,9
5,PLS 147 CA Plant Communities,PLS,147,10,"","",3,,,9
6,PLS 147L CA Plant Comm Field,PLS,147L,10,5,"",1,,,9
7,ESP 171 Urban & Regl Planning,ESP,171,"","","",4,,,9
8,ESP 172 Public Lands Mgmt,ESP,172,"","","",4,,,10
9,IAD 010 Intro Int Ag Dev,IAD,010,"","","",4,,,2
10,PLS 002 Bot Physiol Cultiv Plant,PLS,002,"","","",4,,,5
11,SSC 010 Soils in Our Environment,SSC,010,"","","",4,,,4
12,ECN 001A Princ Of Microecon,ECN,001A,"","","",5,,,3
13,ECN 001B Princ Of Macroecon,ECN,001B,"","","",5,,,3
14,STA 013 Elementary Statistics,STA,013,"","","",4,,,4
15,MAT 016A Short Calculus,MAT,016A,"","","",3,,,2
16,CRD 001 The Community,CRD,001,"","","",4,,,4
17,NUT 010 Discov & Concepts,NUT,010,"","","",3,,,3
18,PLS 001 Ag Nature & Society,PLS,001,"","","",3,,,4
19,PLS 101 Agric & the Environment,PLS,101,10,"","",3,,,8
20,ECN 115A Economic Development,ECN,115A,12;13,"","",4,,,8
21,IAD 142 Eqpt/Tech for Small Farm,IAD,142,"","","",2,,,12
22,PLS 112 Forage Crop Production,PLS,112,10,"","",3,,,8
23,IAD 103 Soc Chg & Ag Dev,IAD,103,"","","",4,,,9
24,IAD 170 Program Develop for IAD,IAD,170,9,"","",4,,,7
25,CRD 141 Org of Economic Space,CRD,141,16,"","",4,,,8
26,CRD 142 Rural Change Indust Wrld,CRD,142,16,"","",4,,,8
27,POL 124 Pol Global Ineq,POL,124,"","","",4,,,8
28,ARB 003 Elem Arabic 3,ARB,003,31,"","",5,,,6
29,UWP 001 Academic Literacies,UWP,001,"","","",4,,,4
30,CHE 002A General Chemistry,CHE,002A,"","","",5,,,2
31,ARB 002 Elem Arabic 2,ARB,002,32,"","",5,,,5
32,ARB 001 Elem Arabic 1,ARB,001,"","","",5,,,4
