Curriculum,AIAD - International Agricultural Development (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,01.0701
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,SOC 001 Intro Sociology,SOC,001,"","","",5,,,3
2,ANT 002 Cultural Anthropology,ANT,002,"","","",5,,,3
3,CRD 152 Community Development,CRD,152,14,"","",4,,,9
4,CRD 172 Social Inequality,CRD,172,14,"","",4,,,9
5,CRD 149 Comm Dev and Env Just,CRD,149,"","","",4,,,9
6,CRD 180 Transnational Comm Dev,CRD,180,14,"","",4,,,8
7,IAD 010 Intro Int Ag Dev,IAD,010,"","","",4,,,2
8,PLS 002 Bot Physiol Cultiv Plant,PLS,002,"","","",4,,,5
9,SSC 010 Soils in Our Environment,SSC,010,"","","",4,,,4
10,ECN 001A Princ Of Microecon,ECN,001A,"","","",5,,,3
11,ECN 001B Princ Of Macroecon,ECN,001B,"","","",5,,,3
12,STA 013 Elementary Statistics,STA,013,"","","",4,,,4
13,MAT 016A Short Calculus,MAT,016A,"","","",3,,,2
14,CRD 001 The Community,CRD,001,"","","",4,,,4
15,NUT 010 Discov & Concepts,NUT,010,"","","",3,,,3
16,PLS 001 Ag Nature & Society,PLS,001,"","","",3,,,4
17,PLS 101 Agric & the Environment,PLS,101,8,"","",3,,,8
18,ECN 115A Economic Development,ECN,115A,10;11,"","",4,,,8
19,IAD 142 Eqpt/Tech for Small Farm,IAD,142,"","","",2,,,12
20,PLS 112 Forage Crop Production,PLS,112,8,"","",3,,,8
21,IAD 103 Soc Chg & Ag Dev,IAD,103,"","","",4,,,9
22,IAD 170 Program Develop for IAD,IAD,170,7,"","",4,,,7
23,CRD 141 Org of Economic Space,CRD,141,14,"","",4,,,8
24,CRD 142 Rural Change Indust Wrld,CRD,142,14,"","",4,,,8
25,POL 124 Pol Global Ineq,POL,124,"","","",4,,,8
26,ARB 003 Elem Arabic 3,ARB,003,27,"","",5,,,6
27,ARB 002 Elem Arabic 2,ARB,002,28,"","",5,,,5
28,ARB 001 Elem Arabic 1,ARB,001,"","","",5,,,4
