Curriculum,ASAF - Sustainable Agriculture and Food Systems (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,01.0308
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MAT 016A Short Calculus,MAT,016A,"","","",3,,,2
2,MAT 016B Short Calculus,MAT,016B,1,"","",3,,,3
3,STA 100 Applied Stat for Bio Sci,STA,100,2,"","",4,,,7
4,CHE 002A General Chemistry,CHE,002A,"","","",5,,,2
5,CHE 002B General Chemistry,CHE,002B,4,"","",5,,,3
6,PHY 001A Principles Physics,PHY,001A,"","","",3,,,6
7,BIS 002B Introduction to Biology,BIS,002B,"","","",5,,,5
8,BIS 002C Introduction to Biology,BIS,002C,7,"","",5,,,7
9,VEN 002 Intro To Viticult,VEN,002,"","","",2,,,4
10,ANS 001 Domestic Anim & People,ANS,001,"","","",4,,,7
11,FST 001 Principles Food Science,FST,001,"","","",3,,,6
12,ECN 001A Princ Of Microecon,ECN,001A,"","","",5,,,3
13,CRD 001 The Community,CRD,001,"","","",4,,,4
14,PHI 014 Eth & Soc Probs Cont Soc,PHI,014,"","","",4,,,6
15,POL 004 Bas Cnpt/Pol Thry,POL,004,"","","",4,,,5
16,ARE 112 Organization Management,ARE,112,"","","",4,,,8
17,ESP 161 Environmental Law,ESP,161,"","","",4,,,9
18,SSC 100 Principles Soil Sci,SSC,100,"","","",5,,,7
19,ENT 119 Apiculture,ENT,119,"","","",3,,,7
20,PLS 171 Plant Propagation,PLS,171,8,"","",4,,,9
21,CMN 001 Intro Public Speaking,CMN,001,"","","",4,,,7
22,PLS 015 Intro Sustainable Agric,PLS,015,"","","",4,,,6
23,CRD 020 Food Systems,CRD,020,"","","",4,,,7
24,PLS 150 Agroecosystem Management,PLS,150,33;4;8,"","",4,,,9
25,ARE 121 Econ of Ag Sustain,ARE,121,12,"","",4,,,8
26,PLS 190 Seminar on Altern Agric,PLS,190,"","","",2,,,8
27,ESP 191A Sustainability Workshop,ESP,191A,22;23;25;24,"","",3,,,11
28,ESP 191B Sustainability Workshop,ESP,191B,27,"","",3,,,12
29,SAF 192 Internship,SAF,192,"","","",12,,,8
30,PLS 049 Organic Crop Prod Pract,PLS,049,"","","",3,,,9
31,ANS 049C Animal Prac/Dairy,ANS,049C,"","","",2,,,5
32,ABT 049 Field Eqpt Operation,ABT,049,"","","",2,,,12
33,SSC 010 Soils in Our Environment,SSC,010,"","","",4,,,4
