Curriculum,ASAF - Sustainable Agriculture and Food Systems (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,01.0308
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MAT 016A Short Calculus,MAT,016A,"","","",3,,,2
2,MAT 016B Short Calculus,MAT,016B,1,"","",3,,,3
3,STA 013 Elementary Statistics,STA,013,"","","",4,,,4
4,STA 103 Applied Statistics,STA,103,3;2,"","",4,,,6
5,CHE 002A General Chemistry,CHE,002A,"","","",5,,,2
6,BIS 002A Introduction to Biology,BIS,002A,"","","",5,,,4
7,PLS 002 Bot Physiol Cultiv Plant,PLS,002,"","","",4,,,5
8,BIS 002B Introduction to Biology,BIS,002B,"","","",5,,,5
9,FST 001 Principles Food Science,FST,001,"","","",3,,,6
10,SSC 010 Soils in Our Environment,SSC,010,"","","",4,,,4
11,ECN 100A Intermed Micro Theory,ECN,100A,35;12;1;2,"","",4,,,7
12,ECN 001B Princ Of Macroecon,ECN,001B,"","","",5,,,4
13,POL 004 Bas Cnpt/Pol Thry,POL,004,"","","",4,,,5
14,ANT 002 Cultural Anthropology,ANT,002,"","","",5,,,3
15,CRD 001 The Community,CRD,001,"","","",4,,,4
16,PHI 014 Eth & Soc Probs Cont Soc,PHI,014,"","","",4,,,6
17,ARE 112 Organization Management,ARE,112,"","","",4,,,8
18,ESP 161 Environmental Law,ESP,161,"","","",4,,,9
19,ESP 172 Public Lands Mgmt,ESP,172,"","","",4,,,7
20,ESP 169 Water Policy & Politics,ESP,169,"","","",3,,,9
21,CRD 142 Rural Change Indust Wrld,CRD,142,15,"","",4,,,8
22,CRD 152 Community Development,CRD,152,15,"","",4,,,9
23,CMN 001 Intro Public Speaking,CMN,001,"","","",4,,,7
24,PLS 015 Intro Sustainable Agric,PLS,015,"","","",4,,,6
25,CRD 020 Food Systems,CRD,020,"","","",4,,,7
26,PLS 150 Agroecosystem Management,PLS,150,10;5;7,"","",4,,,9
27,ARE 121 Econ of Ag Sustain,ARE,121,35,"","",4,,,8
28,PLS 190 Seminar on Altern Agric,PLS,190,"","","",2,,,8
29,ESP 191A Sustainability Workshop,ESP,191A,24;25;27;26,"","",3,,,11
30,ESP 191B Sustainability Workshop,ESP,191B,29,"","",3,,,12
31,SAF 192 Internship,SAF,192,"","","",12,,,8
32,PLS 049 Organic Crop Prod Pract,PLS,049,"","","",3,,,9
33,ANS 049C Animal Prac/Dairy,ANS,049C,"","","",2,,,5
34,ABT 049 Field Eqpt Operation,ABT,049,"","","",2,,,12
35,ECN 001A Princ Of Microecon,ECN,001A,"","","",5,,,3
