Curriculum,AVEN - Viticulture and Enology (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,01.1099
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,BIS 002A Introduction to Biology,BIS,002A,"","","",5,,,3
2,CHE 002A General Chemistry,CHE,002A,"","","",5,,,1
3,CHE 002B General Chemistry,CHE,002B,2,"","",5,,,2
4,CHE 002C General Chemistry,CHE,002C,3,"","",5,,,3
5,CHE 008B Organic Chemistry-Brief,CHE,008B,6,"","",4,,,6
6,CHE 008A Organic Chemistry-Brief,CHE,008A,3,"","",2,,,4
7,MAT 016A Short Calculus,MAT,016A,"","","",3,,,1
8,MAT 016B Short Calculus,MAT,016B,7,"","",3,,,3
9,PHY 007A General Physics,PHY,007A,"",8,"",4,,,5
10,PLS 002 Bot Physiol Cultiv Plant,PLS,002,"","","",4,,,5
11,PLS 021 Computers in Technology,PLS,021,"","","",3,,,4
12,VEN 002 Intro To Viticult,VEN,002,"","","",2,,,4
13,VEN 003 Intro/Wine Making,VEN,003,"","","",3,,,2
14,BIS 103 Bioenergetics/Metabolism,BIS,103,15,"","",3,,,9
15,BIS 102 Struc & Func Biomolecule,BIS,102,1;5,"","",3,,,7
16,MIC 102 Intro Microbiology,MIC,102,1,3,"",4,,,7
17,PLS 120 Applied Stat in Ag Sci,PLS,120,"","","",4,,,7
18,VEN 101B Viticultural Practices,VEN,101B,12,"","",3,,,8
19,VEN 101A Viticultural Practices,VEN,101A,12,"","",3,,,7
20,VEN 101C Viticultural Practices,VEN,101C,12,"","",3,,,9
21,VEN 110 Growth & Physiology,VEN,110,12,"","",3,,,8
22,VEN 118 Vine Pests/Diseases,VEN,118,12,"","",3,,,7
23,VEN 123 Analysis Musts & Wines,VEN,123,4;11;5,"","",2,,,10
24,VEN 123L Analysis Musts/Wines Lab,VEN,123L,4;11;5,23,"",2,,,10
25,VEN 124 Wine Production,VEN,124,13;15,23,"",2,,,10
26,VEN 124L Wine Production Lab,VEN,124L,"",25,"",3,,,10
27,VEN 125 Wine Type & Sens Eval,VEN,125,17,"","",2,,,12
28,VEN 125L Wine Sensory Evaluation,VEN,125L,"",27,"",2,,,12
29,VEN 126 Wine Stability,VEN,126,25,"","",3,,,11
30,VEN 126L Wine Stability Lab,VEN,126L,24,29,"",2,,,11
31,VEN 128 Wine Microbiology,VEN,128,23;25;16;40,"","",2,,,11
32,VEN 128L Wine Microbiology Lab,VEN,128L,23;25;40,31,"",2,,,11
33,VEN 135 Wine Tech/Winery Systems,VEN,135,11;7;8;9,"","",4,,,9
34,ECN 001A Princ Of Microecon,ECN,001A,"","","",5,,,6
35,ECN 001B Princ Of Macroecon,ECN,001B,"","","",5,,,6
36,MGT 011A Elementary Accounting,MGT,011A,"","","",4,,,7
37,VEN 190X Winemaking Seminar,VEN,190X,13,"","",1,,,9
38,VEN 192 Internship,VEN,192,"","","",12,,,10
39,VEN 198 Directed Gp Study,VEN,198,"","","",5,,,9
40,MIC 103L Intro Microbiology Lab,MIC,103L,16;3,"","",2,,,9
