Curriculum,BBIS - Biological Sciences (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,26.0101
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,BIS 002B Introduction to Biology,BIS,002B,"","","",5,,,4
2,BIS 002A Introduction to Biology,BIS,002A,"","","",5,,,3
3,BIS 002C Introduction to Biology,BIS,002C,1,"","",5,,,5
4,CHE 002A General Chemistry,CHE,002A,"","","",5,,,1
5,CHE 002B General Chemistry,CHE,002B,4,"","",5,,,2
6,CHE 002C General Chemistry,CHE,002C,5,"","",5,,,3
7,CHE 118A Organic Chem Health Sci,CHE,118A,6,"","",4,,,4
8,CHE 118B Organic Chem Health Sci,CHE,118B,7,"","",4,,,6
9,CHE 118C Organic Chem Health Sci,CHE,118C,8,"","",4,,,7
10,MAT 017A Calculus for BioSci,MAT,017A,"","","",4,,,1
11,MAT 017B Calculus for BioSci,MAT,017B,10,"","",4,,,2
12,MAT 017C Calculus for BioSci,MAT,017C,11,"","",4,,,3
13,PHY 007A General Physics,PHY,007A,"",11,"",4,,,6
14,PHY 007B General Physics,PHY,007B,13,"","",4,,,7
15,PHY 007C General Physics,PHY,007C,14,"","",4,,,8
16,BIS 101 Genes & Gene Expression,BIS,101,2;1;7;20,"","",4,,,7
17,BIS 104 Cell Biology,BIS,104,16;18,"","",3,,,10
18,BIS 102 Struc & Func Biomolecule,BIS,102,2;8,"","",3,,,8
19,BIS 103 Bioenergetics/Metabolism,BIS,103,18,"","",3,,,9
20,STA 100 Applied Stat for Bio Sci,STA,100,11,"","",4,,,5
21,EVE 100 Intro to Evolution,EVE,100,2;1;3;10;11,"","",4,,,10
22,EVE 101 Introduction to Ecology,EVE,101,2;1;3;10;11,"","",4,,,9
23,MIC 102 Intro Microbiology,MIC,102,2,5,"",4,,,9
24,PLB 112 Plant Growth & Develop,PLB,112,2;1;3;8;16,"","",3,,,11
25,NPB 101 Systemic Physiology,NPB,101,2;5,"","",5,,,9
26,NPB 101L Systemic Physiology Lab,NPB,101L,25,"","",3,,,11
27,BIS 101D Genes and Gene Exp Disc,BIS,101D,"",16,"",1,,,7
28,NPB 102 Animal Behavior,NPB,102,1,"","",3,,,9
29,BIS 105 Biomolecule & Metabolism,BIS,105,2;8,"","",3,,,9
30,NPB 101D Systemic Physiology Disc,NPB,101D,"",25,"",2,,,9
31,NPB 100 Neurobiology,NPB,100,2,"","",4,,,9
32,NPB 100L Neurobiology Lab,NPB,100L,"",31,"",3,,,12
33,PLB 112D Plant Growth & Devel Dis,PLB,112D,"",24,"",1,,,11
34,NPB 168 Neurobiol Addict Drugs,NPB,168,25,"","",4,,,11
35,CHA 101 Human Gross Anatomy,CHA,101,2,"","",4,,,11
36,CHA 101L Human Gross Anatomy Lab,CHA,101L,2,35,"",3,,,11
37,ENT 104 Behav Ecol Insects,ENT,104,"","","",3,,,12
