Curriculum,BMMM - Molecular & Medical Microbiology (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,26.0502
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,BIS 002B Introduction to Biology,BIS,002B,"","","",5,,,3
2,BIS 002A Introduction to Biology,BIS,002A,"","","",5,,,3
3,BIS 002C Introduction to Biology,BIS,002C,1,"","",5,,,4
4,CHE 002A General Chemistry,CHE,002A,"","","",5,,,1
5,CHE 002B General Chemistry,CHE,002B,4,"","",5,,,2
6,CHE 118A Organic Chem Health Sci,CHE,118A,27,"","",4,,,4
7,CHE 118B Organic Chem Health Sci,CHE,118B,6,"","",4,,,5
8,CHE 118C Organic Chem Health Sci,CHE,118C,7,"","",4,,,6
9,MAT 017A Calculus for BioSci,MAT,017A,"","","",4,,,1
10,MAT 017B Calculus for BioSci,MAT,017B,9,"","",4,,,2
11,PHY 007B General Physics,PHY,007B,12,"","",4,,,7
12,PHY 007A General Physics,PHY,007A,"",10,"",4,,,6
13,PHY 007C General Physics,PHY,007C,11,"","",4,,,8
14,BIS 101 Genes & Gene Expression,BIS,101,2;1;6;28,"","",4,,,7
15,BIS 102 Struc & Func Biomolecule,BIS,102,2;7,"","",3,,,8
16,BIS 103 Bioenergetics/Metabolism,BIS,103,15,"","",3,,,9
17,MIC 102 Intro Microbiology,MIC,102,2,5,"",4,,,5
18,MIC 105 Microbial Diversity,MIC,105,17,"","",5,,,8
19,MIC 105L Microbial Diversity Lab,MIC,105L,17;29,18,"",3,,,12
20,MIC 111 Human Microbiology,MIC,111,17;14,"","",3,,,10
21,MIC 115 Recombinant DNA Cloning,MIC,115,14,"","",3,,,10
22,MIC 162 General Virology,MIC,162,14,"","",4,,,11
23,BIS 104 Cell Biology,BIS,104,14;15,"","",3,,,10
24,MIC 191 Intro Research Adv,MIC,191,2,"","",1,,,7
25,MIC 170 Yeast Molecular Genetics,MIC,170,14,"","",3,,,9
26,MIC 198 Directed Gp Study,MIC,198,"","","",5,,,11
27,CHE 002C General Chemistry,CHE,002C,5,"","",5,,,3
28,STA 100 Applied Stat for Bio Sci,STA,100,10,"","",4,,,5
29,MIC 104L General Microbiology Lab,MIC,104L,17;7,"","",3,,,7
