Curriculum,BPLB - Plant Biology (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,26.0301
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,BIS 002B Introduction to Biology,BIS,002B,"","","",5,,,3
2,BIS 002A Introduction to Biology,BIS,002A,"","","",5,,,3
3,BIS 002C Introduction to Biology,BIS,002C,1,"","",5,,,5
4,CHE 002A General Chemistry,CHE,002A,"","","",5,,,1
5,CHE 002B General Chemistry,CHE,002B,4,"","",5,,,2
6,STA 100 Applied Stat for Bio Sci,STA,100,20,"","",4,,,5
7,BIS 101 Genes & Gene Expression,BIS,101,2;1;22;6,"","",4,,,7
8,PLB 102 California Floristics,PLB,102,3,"","",5,,,12
9,PLB 116 Plant Morphology,PLB,116,"","","",5,,,11
10,PLB 105 Plant Anatomy,PLB,105,3,"","",5,,,10
11,PLB 111 Plant Physiology,PLB,111,2;1;3,24;25,"",3,,,10
12,PLB 112 Plant Growth & Develop,PLB,112,2;1;3;24;7,"","",3,,,9
13,PLB 117 Plant Ecology,PLB,117,1,"","",4,,,10
14,PLB 112D Plant Growth & Devel Dis,PLB,112D,"",12,"",1,,,9
15,PLB 111D Physiology Dis,PLB,111D,"",11,"",1,,,10
16,PLB 143 Evolution of Crop Plants,PLB,143,3,"","",4,,,9
17,PLB 113 Plant Molec & Cell Biol,PLB,113,2;1;3;7,"","",3,,,10
18,PLB 113D Plant Mol Cell Biol Disc,PLB,113D,"",17,"",1,,,10
19,PLB 126 Plant Biochemistry,PLB,126,28,"","",3,,,11
20,MAT 017B Calculus for BioSci,MAT,017B,21,"","",4,,,3
21,MAT 017A Calculus for BioSci,MAT,017A,"","","",4,,,1
22,CHE 118A Organic Chem Health Sci,CHE,118A,23,"","",4,,,4
23,CHE 002C General Chemistry,CHE,002C,5,"","",5,,,3
24,CHE 008B Organic Chemistry-Brief,CHE,008B,22,"","",4,,,7
25,PHY 007C General Physics,PHY,007C,26,"","",4,,,7
26,PHY 007B General Physics,PHY,007B,27,"","",4,,,6
27,PHY 007A General Physics,PHY,007A,"",20,"",4,,,5
28,BIS 103 Bioenergetics/Metabolism,BIS,103,29,"","",3,,,9
29,BIS 102 Struc & Func Biomolecule,BIS,102,2;24,"","",3,,,8
