Curriculum,BPLB - Plant Biology (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,26.0301
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,BIS 002B Introduction to Biology,BIS,002B,"","","",5,,,3
2,BIS 002A Introduction to Biology,BIS,002A,"","","",5,,,3
3,BIS 002C Introduction to Biology,BIS,002C,1,"","",5,,,5
4,CHE 002A General Chemistry,CHE,002A,"","","",5,,,1
5,CHE 002B General Chemistry,CHE,002B,4,"","",5,,,2
6,CHE 002C General Chemistry,CHE,002C,5,"","",5,,,3
7,CHE 118A Organic Chem Health Sci,CHE,118A,6,"","",4,,,4
8,CHE 118B Organic Chem Health Sci,CHE,118B,7,"","",4,,,5
9,CHE 118C Organic Chem Health Sci,CHE,118C,8,"","",4,,,7
10,MAT 017A Calculus for BioSci,MAT,017A,"","","",4,,,1
11,PHY 007A General Physics,PHY,007A,"",27,"",4,,,5
12,PHY 007B General Physics,PHY,007B,11,"","",4,,,6
13,PHY 007C General Physics,PHY,007C,12,"","",4,,,7
14,BIS 101 Genes & Gene Expression,BIS,101,2;1;7;18,"","",4,,,7
15,BIS 102 Struc & Func Biomolecule,BIS,102,2;8,"","",3,,,8
16,BIS 103 Bioenergetics/Metabolism,BIS,103,15,"","",3,,,9
17,BIS 104 Cell Biology,BIS,104,14;15,"","",3,,,10
18,STA 100 Applied Stat for Bio Sci,STA,100,27,"","",4,,,5
19,PLB 105 Plant Anatomy,PLB,105,3,"","",5,,,10
20,PLB 111 Plant Physiology,PLB,111,2;1;3,8;13,"",3,,,10
21,PLB 112 Plant Growth & Develop,PLB,112,2;1;3;8;14,"","",3,,,9
22,PLB 199 Special Study,PLB,199,"","","",5,,,11
23,PLB 143 Evolution of Crop Plants,PLB,143,3,"","",4,,,9
24,EVE 100 Intro to Evolution,EVE,100,2;1;3;10;27,"","",4,,,8
25,EVE 101 Introduction to Ecology,EVE,101,2;1;3;10;27,"","",4,,,8
26,PLB 113 Plant Molec & Cell Biol,PLB,113,2;1;3;14,"","",3,,,10
27,MAT 017B Calculus for BioSci,MAT,017B,10,"","",4,,,3
