Curriculum,EBCL - Biochemical Engineering (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,14.0702
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MAT 021B Calculus,MAT,021B,3,"","",4,,,2
2,MAT 021C Calculus,MAT,021C,1,"","",4,,,3
3,MAT 021A Calculus,MAT,021A,"","","",4,,,1
4,MAT 021D Vector Analysis,MAT,021D,2,"","",4,,,4
5,MAT 022A Linear Algebra,MAT,022A,2,6,"",3,,,5
6,MAT 022AL Linear Algebra Comp Lab,MAT,022AL,2,"","",1,,,4
7,MAT 022B Differential Equations,MAT,022B,5,"","",3,,,6
8,PHY 009A Classical Physics,PHY,009A,1,"","",5,,,3
9,PHY 009B Classical Physics,PHY,009B,8;2,4,"",5,,,4
10,PHY 009C Classical Physics,PHY,009C,9;4;5,"","",5,,,5
11,CHE 002A General Chemistry,CHE,002A,"","","",5,,,1
12,CHE 002B General Chemistry,CHE,002B,11,"","",5,,,2
13,CHE 002C General Chemistry,CHE,002C,12,"","",5,,,3
14,BIS 002A Introduction to Biology,BIS,002A,"","","",5,,,6
15,ECH 005 Intro to Chem Eng,ECH,005,3,1,"",3,,,2
16,ECH 051 Material Balances,ECH,051,2,4,"",4,,,5
17,ECH 060 Num Methods in Eng,ECH,060,2,"","",4,,,6
18,ECH 080 Chem Engr Profession,ECH,080,"","","",1,,,1
19,ENL 003 Intro To Literature,ENL,003,"","","",4,,,1
20,ECH 140 Mathematical Methods,ECH,140,7;17,"","",4,,,7
21,ECH 141 CHMS Fluid Mechanics,ECH,141,20;16,"","",4,,,8
22,ECH 142 Heat Transfer,ECH,142,21,"","",4,,,9
23,ECH 143 Mass Transfer,ECH,143,21,"","",4,,,9
24,ECH 145A Chem Eng Thermo Lab,ECH,145A,27,28,"",3,,,8
25,ECH 145B Chem Eng Transport Lab,ECH,145B,21;24,"","",3,,,9
26,ECH 148A Chemical Kinetics,ECH,148A,23;28,"","",3,,,10
27,ECH 152A ChE Thermodynamics,ECH,152A,17,"","",3,,,7
28,ECH 152B ECH Thermodynamics,ECH,152B,27,"","",4,,,8
29,ECH 157 Process Dynamics,ECH,157,20,"","",4,,,10
30,ECH 158A Process Design,ECH,158A,22;23,"","",4,,,10
31,ECH 158C Plant Design,ECH,158C,34,"","",4,,,12
32,ECH 161A Biochem Engr Fund,ECH,161A,26,"","",4,,,11
33,ECH 161B Bioseparations,ECH,161B,23,"","",4,,,11
34,ECH 161C Biotech Facility Design,ECH,161C,30,"","",4,,,11
35,BIS 102 Struc & Func Biomolecule,BIS,102,14;40,"","",3,,,7
36,MIC 102 Intro Microbiology,MIC,102,14,12,"",4,,,7
37,CHE 110A Phys Chem: Quantum Mech,CHE,110A,13;2;10,"","",4,,,6
38,CHE 128A Organic Chemistry,CHE,128A,13,"","",3,,,4
39,CHE 129A Organic Chem Lab,CHE,129A,13,38,"",2,,,5
40,CHE 128B Organic Chemistry,CHE,128B,38,"","",3,,,5
41,BIS 103 Bioenergetics/Metabolism,BIS,103,35,"","",3,,,9
42,ECH 199 Special Study,ECH,199,"","","",5,,,9
43,UWP 102E Writing in Engineering,UWP,102E,19,"","",4,,,8
