Curriculum,ECML - Chemical Engineering (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,14.0701
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MAT 021B Calculus,MAT,021B,4,"","",4,,,2
2,MAT 021C Calculus,MAT,021C,1,"","",4,,,3
3,MAT 021D Vector Analysis,MAT,021D,2,"","",4,,,4
4,MAT 021A Calculus,MAT,021A,"","","",4,,,1
5,MAT 022A Linear Algebra,MAT,022A,2,6,"",3,,,5
6,MAT 022AL Linear Algebra Comp Lab,MAT,022AL,2,"","",1,,,5
7,MAT 022B Differential Equations,MAT,022B,5,"","",3,,,6
8,PHY 009A Classical Physics,PHY,009A,1,"","",5,,,3
9,PHY 009B Classical Physics,PHY,009B,8;2,3,"",5,,,4
10,PHY 009C Classical Physics,PHY,009C,9;3;5,"","",5,,,5
11,CHE 002A General Chemistry,CHE,002A,"","","",5,,,1
12,ECH 005 Intro to Chem Eng,ECH,005,4,1,"",3,,,2
13,ECH 051 Material Balances,ECH,051,2,3,"",4,,,4
14,ECH 060 Num Methods in Eng,ECH,060,2,"","",4,,,6
15,ECH 080 Chem Engr Profession,ECH,080,"","","",1,,,1
16,ENG 045 Properties of Materials,ENG,045,2;11;8,"","",4,,,6
17,UWP 001 Academic Literacies,UWP,001,"","","",4,,,4
18,CHE 128A Organic Chemistry,CHE,128A,41,"","",3,,,4
19,CHE 128B Organic Chemistry,CHE,128B,18,"","",3,,,5
20,CHE 129A Organic Chem Lab,CHE,129A,41,18,"",2,,,5
21,CHE 110A Phys Chem: Quantum Mech,CHE,110A,41;2;10,"","",4,,,6
22,CHE 110B Phys Chem: Atoms & Molec,CHE,110B,21,"","",4,,,7
23,ECH 140 Mathematical Methods,ECH,140,7;14,"","",4,,,7
24,ECH 141 CHMS Fluid Mechanics,ECH,141,23;13,"","",4,,,8
25,ECH 142 Heat Transfer,ECH,142,24,"","",4,,,9
26,ECH 143 Mass Transfer,ECH,143,24,"","",4,,,9
27,ECH 145A Chem Eng Thermo Lab,ECH,145A,31,32,"",3,,,8
28,ECH 145B Chem Eng Transport Lab,ECH,145B,24;27,"","",3,,,9
29,ECH 148A Chemical Kinetics,ECH,148A,26;32,"","",3,,,10
30,ECH 148B Chemical Kinetics,ECH,148B,29,"","",4,,,11
31,ECH 152A ChE Thermodynamics,ECH,152A,14,"","",3,,,7
32,ECH 152B ECH Thermodynamics,ECH,152B,31,"","",4,,,8
33,ECH 155 Chem Eng Reactor Lab,ECH,155,28;29,30;34,"",4,,,11
34,ECH 157 Process Dynamics,ECH,157,23,"","",4,,,10
35,ECH 158A Process Design,ECH,158A,25;26,"","",4,,,10
36,ECH 158B Separations & Unit Ops,ECH,158B,35,"","",4,,,11
37,ECH 158C Plant Design,ECH,158C,36,"","",4,,,12
38,ECH 198 Group Study,ECH,198,"","","",5,,,8
39,ECH 199 Special Study,ECH,199,"","","",5,,,9
40,UWP 102E Writing in Engineering,UWP,102E,17,"","",4,,,8
41,CHE 002C General Chemistry,CHE,002C,42,"","",5,,,3
42,CHE 002B General Chemistry,CHE,002B,11,"","",5,,,2
