Curriculum,ECSE - Computer Science and Engineering (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,14.0901
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MAT 021C Calculus,MAT,021C,2,"","",4,,,2
2,MAT 021B Calculus,MAT,021B,4,"","",4,,,2
3,MAT 021D Vector Analysis,MAT,021D,1,"","",4,,,3
4,MAT 021A Calculus,MAT,021A,"","","",4,,,1
5,MAT 022A Linear Algebra,MAT,022A,1,6,"",3,,,4
6,MAT 022AL Linear Algebra Comp Lab,MAT,022AL,1,"","",1,,,4
7,MAT 022B Differential Equations,MAT,022B,5,"","",3,,,6
8,PHY 009A Classical Physics,PHY,009A,2,"","",5,,,3
9,PHY 009B Classical Physics,PHY,009B,8;1,3,"",5,,,4
10,PHY 009C Classical Physics,PHY,009C,9;3;5,"","",5,,,5
11,PHY 009D Modern Physics,PHY,009D,10;5,"","",4,,,6
12,CHE 002A General Chemistry,CHE,002A,"","","",5,,,2
13,ECS 020 Discrete Math for CS,ECS,020,4,"","",4,,,3
14,ECS 036A Programming,ECS,036A,39,"","",4,,,1
15,ECS 036B Object-Oriented Program,ECS,036B,14,"","",4,,,5
16,ECS 036C Data Structures,ECS,036C,15;13,"","",4,,,4
17,ECS 050 Machine Dependent Prog,ECS,050,15,"","",4,,,4
18,ENG 017 Circuits I,ENG,017,1,"","",4,,,6
19,CMN 001 Intro Public Speaking,CMN,001,"","","",4,,,7
20,UWP 001 Academic Literacies,UWP,001,"","","",4,,,5
21,ECS 132 Prob & Sta Model for CS,ECS,132,15;13;1;5,"","",4,,,7
22,ECS 140A Programming Languages,ECS,140A,17;16;13;23,"","",4,,,7
23,ECS 150 Operating Systems,ECS,150,16;25,"","",4,,,9
24,ECS 152A Computer Networks,ECS,152A,16;21,"","",4,,,9
25,ECS 154A Computer Architecture,ECS,154A,17,"","",4,,,7
26,ECS 154B Computer Architecture,ECS,154B,25,"","",4,,,8
27,ECS 160 Software Engineering,ECS,160,22,"","",4,,,10
28,ECS 188 Ethics in an Age of Tech,ECS,188,"","","",4,,,10
29,ECS 193A Senior Design Project,ECS,193A,"",27,"",3,,,11
30,ECS 193B Senior Design Project,ECS,193B,29,"","",3,,,12
31,ECS 122A Algorithm Design & Anyls,ECS,122A,13;16,"","",4,,,6
32,EEC 100 Circuits II,EEC,100,18;7,"","",5,,,8
33,EEC 172 Embedded Systems,EEC,172,25;32,"","",4,,,9
34,ECS 120 Theory Computation,ECS,120,13,"","",4,,,7
35,ECS 165A Database Systems,ECS,165A,16,"","",4,,,11
36,ECS 171 Machine Learning,ECS,171,16,"","",4,,,10
37,ECS 192 Intern In Cmptr Sci,ECS,192,"","","",5,,,9
38,UWP 101 Advanced Composition,UWP,101,20,"","",4,,,9
39,ECS 032A Intro to Programming,ECS,032A,"","","",4,,,0
