Curriculum,EMSE - Materials Science and Engineering (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,14.1801
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MAT 021B Calculus,MAT,021B,3,"","",4,,,2
2,MAT 021C Calculus,MAT,021C,1,"","",4,,,3
3,MAT 021A Calculus,MAT,021A,"","","",4,,,1
4,MAT 021D Vector Analysis,MAT,021D,2,"","",4,,,4
5,MAT 022A Linear Algebra,MAT,022A,2,6,"",3,,,5
6,MAT 022AL Linear Algebra Comp Lab,MAT,022AL,2,"","",1,,,5
7,MAT 022B Differential Equations,MAT,022B,5,"","",3,,,6
8,PHY 009A Classical Physics,PHY,009A,1,"","",5,,,3
9,PHY 009B Classical Physics,PHY,009B,8;2,4,"",5,,,4
10,PHY 009C Classical Physics,PHY,009C,9;4;5,"","",5,,,5
11,PHY 009D Modern Physics,PHY,009D,10;5,"","",4,,,6
12,CHE 002A General Chemistry,CHE,002A,"","","",5,,,1
13,CHE 002B General Chemistry,CHE,002B,12,"","",5,,,2
14,CHE 002C General Chemistry,CHE,002C,13,"","",5,,,3
15,ENG 003 Intro to Engr Design,ENG,003,"","","",4,,,6
16,ENG 017 Circuits I,ENG,017,2,"","",4,,,6
17,ENG 045 Properties of Materials,ENG,045,2;12;8,"","",4,,,4
18,EMS 002 Materials Marvels,EMS,002,"","","",3,,,2
19,ECH 060 Num Methods in Eng,ECH,060,2,"","",4,,,6
20,UWP 001 Academic Literacies,UWP,001,"","","",4,,,5
21,ENG 190 Prof Resp Of Engr,ENG,190,"","","",3,,,11
22,EMS 160 Thermo of Materials,EMS,160,17;9;7,"","",4,,,7
23,EMS 162 Struct Char Engr Matls,EMS,162,17;5;9,"","",4,,,8
24,EMS 162L Struct Charac Matls Lab,EMS,162L,"",23,"",3,,,8
25,EMS 164 Kinetics of Materials,EMS,164,17;22;19,"","",4,,,8
26,EMS 170 Sustainable Energy Tech,EMS,170,17,"","",4,,,9
27,EMS 170L Sust Eng Tech Lab,EMS,170L,17,26,"",3,,,9
28,EMS 172 Smart Materials,EMS,172,11,"","",4,,,10
29,EMS 172L Smart Materials Lab,EMS,172L,"",28,"",3,,,10
30,EMS 174 Mech Behavior of Matls,EMS,174,17,"","",4,,,9
31,EMS 174L Mechanical Behavior Lab,EMS,174L,"",30,"",3,,,9
32,EMS 180 Materials in Eng Design,EMS,180,17,"","",4,,,9
33,EMS 182 Failure Analysis,EMS,182,17,"","",4,,,10
34,EMS 188A Materials Design Project,EMS,188A,22;23;25;28;30,"","",4,,,11
35,EMS 188B Materials Design Project,EMS,188B,34,"","",4,,,12
36,EMS 181 Mftg of 3D & Comp Matls,EMS,181,17;25,"","",4,,,11
37,ECI 114 Probabilistic Sys Anlys,ECI,114,2,"","",4,,,11
38,CHE 124A Inorg Fundamentals,CHE,124A,14,"","",3,,,11
39,ENG 035 Statics,ENG,035,8,4,"",4,,,6
40,ENG 104 Mech of Materials,ENG,104,39;7,"","",4,,,10
41,ENG 104L Mech Of Material Lab,ENG,104L,40,"","",1,,,0
42,ENG 102 Dynamics,ENG,102,39;7,"","",4,,,9
43,UWP 102E Writing in Engineering,UWP,102E,20,"","",4,,,10
