Curriculum,LCGS - Cognitive Science (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,30.2501
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,BIS 002A Introduction to Biology,BIS,002A,"","","",5,,,3
2,BIS 002B Introduction to Biology,BIS,002B,"","","",5,,,4
3,BIS 002C Introduction to Biology,BIS,002C,2,"","",5,,,6
4,LIN 001 Intro Linguistics,LIN,001,"","","",4,,,4
5,MAT 017A Calculus for BioSci,MAT,017A,"","","",4,,,1
6,MAT 017B Calculus for BioSci,MAT,017B,5,"","",4,,,3
7,MAT 017C Calculus for BioSci,MAT,017C,6,"","",4,,,4
8,PHI 010 Intro Cognitive Science,PHI,010,"","","",4,,,5
9,PHI 013G Minds Brains Comp w/Disc,PHI,013G,"","","",4,,,6
10,PHY 007A General Physics,PHY,007A,"",6,"",4,,,5
11,PHY 007B General Physics,PHY,007B,10,"","",4,,,6
12,PHY 007C General Physics,PHY,007C,11,"","",4,,,8
13,PSC 001 General Psychology,PSC,001,"","","",4,,,2
14,PSC 041 Research Meth in Psych,PSC,041,13,"","",4,,,4
15,STA 013 Elementary Statistics,STA,013,"","","",4,,,4
16,CGS 107 Neuroeconomics&Decisions,CGS,107,22;15,"","",4,,,10
17,NPB 100 Neurobiology,NPB,100,1,"","",4,,,8
18,NPB 100L Neurobiology Lab,NPB,100L,"",17,"",3,,,12
19,PSC 103A Stat Analys Psych Data,PSC,103A,13;14;15,"","",5,,,9
20,LIN 177 Computational Linguistic,LIN,177,"","","",4,,,9
21,PSC 101 Intro to Bio Psych,PSC,101,13;14,"","",4,,,7
22,PSC 135 Cognitive Neuroscience,PSC,135,13;14,"","",4,,,8
23,PSC 121 Physiological Psychology,PSC,121,13;14;21,"","",4,,,10
24,LIN 103A Linguistic Analysis I,LIN,103A,"","","",4,,,8
25,LIN 103B Linguistic Analysis II,LIN,103B,"","","",4,,,10
