Curriculum,LGEL - Geology (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,40.0601
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,GEL 050 Physical Geology,GEL,050,"","","",3,,,4
2,GEL 050L Physical Geology Lab,GEL,050L,"",1,"",2,,,4
3,GEL 053 Intro to Geobiology,GEL,053,1,"","",3,,,8
4,GEL 055 Intro to Geochemistry,GEL,055,1;8;9,"","",3,,,8
5,GEL 060 Earth Materials Intro,GEL,060,8;9;7;1;2,"","",4,,,7
6,MAT 021B Calculus,MAT,021B,7,"","",4,,,2
7,MAT 021A Calculus,MAT,021A,"","","",4,,,1
8,CHE 002A General Chemistry,CHE,002A,"","","",5,,,1
9,CHE 002B General Chemistry,CHE,002B,8,"","",5,,,2
10,PHY 009A Classical Physics,PHY,009A,6,"","",5,,,4
11,PHY 009B Classical Physics,PHY,009B,10;27,28,"",5,,,5
12,STA 100 Applied Stat for Bio Sci,STA,100,6,"","",4,,,6
13,GEL 101 Structural Geology,GEL,101,1;2;10;7,"","",3,,,8
14,GEL 101L Structural Geology Lab,GEL,101L,1;2;10,13,"",2,,,8
15,GEL 103 Field Geology,GEL,103,14;13,"","",4,,,9
16,GEL 107 Paleobiology,GEL,107,3,"","",3,,,9
17,GEL 107L Paleobiology Lab,GEL,107L,"",16,"",2,,,10
18,GEL 108 Paleoclimates,GEL,108,1;8,"","",3,,,8
19,GEL 109 Sediments & Strata,GEL,109,1,"","",3,,,9
20,GEL 109L Sediments and Strata Lab,GEL,109L,2,19,"",2,,,9
21,GEL 131 Risk: Natural Hazards,GEL,131,"","","",3,,,11
22,GEL 120 Big Bang to Today,GEL,120,"","","",3,,,9
23,GEL 190 Seminar in Geology,GEL,190,"","","",1,,,11
24,GEL 141 Evol  Hist Vertebrates,GEL,141,3,"","",3,,,11
25,GEL 161 Geophys Field Methods,GEL,161,1;27;29,"","",3,,,12
26,GEL 140 Process Geomorphology,GEL,140,1;6,"","",4,,,10
27,MAT 021C Calculus,MAT,021C,6,"","",4,,,3
28,MAT 021D Vector Analysis,MAT,021D,27,"","",4,,,4
29,PHY 007C General Physics,PHY,007C,30,"","",4,,,8
30,PHY 007B General Physics,PHY,007B,31,"","",4,,,7
31,PHY 007A General Physics,PHY,007A,"",6,"",4,,,6
