Curriculum,LGEL - Geology (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,40.0601
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,GEL 050 Physical Geology,GEL,050,"","","",3,,,4
2,GEL 050L Physical Geology Lab,GEL,050L,"",1,"",2,,,4
3,GEL 053 Intro to Geobiology,GEL,053,1,"","",3,,,8
4,GEL 055 Intro to Geochemistry,GEL,055,1;11;12,"","",3,,,8
5,GEL 056 Intro to Geophysics,GEL,056,1;14;15,"","",4,,,9
6,GEL 060 Earth Materials Intro,GEL,060,11;12;8;1;2,"","",4,,,7
7,MAT 021B Calculus,MAT,021B,8,"","",4,,,2
8,MAT 021A Calculus,MAT,021A,"","","",4,,,1
9,MAT 022A Linear Algebra,MAT,022A,35,10,"",3,,,5
10,MAT 022AL Linear Algebra Comp Lab,MAT,022AL,35,"","",1,,,5
11,CHE 002A General Chemistry,CHE,002A,"","","",5,,,1
12,CHE 002B General Chemistry,CHE,002B,11,"","",5,,,2
13,STA 100 Applied Stat for Bio Sci,STA,100,7,"","",4,,,6
14,PHY 009A Classical Physics,PHY,009A,7,"","",5,,,4
15,PHY 009B Classical Physics,PHY,009B,14;35,36,"",5,,,5
16,GEL 101 Structural Geology,GEL,101,1;2;14;8,"","",3,,,8
17,GEL 101L Structural Geology Lab,GEL,101L,1;2;14,16,"",2,,,8
18,GEL 103 Field Geology,GEL,103,17;16,"","",4,,,9
19,GEL 105 Igneous Rocks,GEL,105,6;8,12,"",4,,,11
20,GEL 107 Paleobiology,GEL,107,3,"","",3,,,9
21,GEL 107L Paleobiology Lab,GEL,107L,"",20,"",2,,,10
22,GEL 108 Paleoclimates,GEL,108,1;11,"","",3,,,8
23,GEL 109 Sediments & Strata,GEL,109,1,"","",3,,,9
24,GEL 109L Sediments and Strata Lab,GEL,109L,2,23,"",2,,,9
25,GEL 131 Risk: Natural Hazards,GEL,131,"","","",3,,,11
26,GEL 120 Big Bang to Today,GEL,120,"","","",3,,,9
27,GEL 190 Seminar in Geology,GEL,190,"","","",1,,,11
28,GEL 161 Geophys Field Methods,GEL,161,1;35;5,"","",3,,,12
29,GEL 141 Evol  Hist Vertebrates,GEL,141,3,"","",3,,,11
30,GEL 140 Process Geomorphology,GEL,140,1;7,"","",4,,,10
31,GEL 192 Internship,GEL,192,"","","",10,,,11
32,GEL 110B Sum Field Volcanology,GEL,110B,19;23,"","",4,,,12
33,GEL 194A Sr Thesis,GEL,194A,"","","",3,,,10
34,GEL 194B Sr Thesis,GEL,194B,"","","",3,,,11
35,MAT 021C Calculus,MAT,021C,7,"","",4,,,3
36,MAT 021D Vector Analysis,MAT,021D,35,"","",4,,,4
