Curriculum,LLIN - Linguistics (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,16.0102
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,LIN 001 Intro Linguistics,LIN,001,"","","",4,,,2
2,ARB 001 Elem Arabic 1,ARB,001,"","","",5,,,2
3,LIN 103A Linguistic Analysis I,LIN,103A,"","","",4,,,6
4,LIN 103B Linguistic Analysis II,LIN,103B,"","","",4,,,6
5,LIN 111 Intro Phono Theory,LIN,111,"","","",4,,,8
6,LIN 131 Intro Syntax Theory,LIN,131,"","","",4,,,9
7,LIN 112 Phonetics,LIN,112,"","","",4,,,7
8,LIN 141 Semantics,LIN,141,"","","",4,,,10
9,LIN 121 Morphology,LIN,121,"","","",4,,,9
10,LIN 165 Applied Linguistics,LIN,165,"","","",4,,,10
11,LIN 173 Language Development,LIN,173,1,"","",4,,,10
12,LIN 106 English Grammar,LIN,106,1,"","",4,,,7
13,LIN 105 Topics in Lang & Ling,LIN,105,"","","",4,,,6
