Curriculum,LMAT - Mathematics (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,27.0101
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MAT 021B Calculus,MAT,021B,3,"","",4,,,2
2,MAT 021C Calculus,MAT,021C,1,"","",4,,,3
3,MAT 021A Calculus,MAT,021A,"","","",4,,,1
4,MAT 021D Vector Analysis,MAT,021D,2,"","",4,,,4
5,MAT 022B Differential Equations,MAT,022B,22,"","",3,,,5
6,ENG 006 Engineering Prob Solving,ENG,006,3,1,"",4,,,3
7,PHY 009A Classical Physics,PHY,009A,1,"","",5,,,6
8,MAT 127A Real Analysis,MAT,127A,22;23;2,"","",4,,,7
9,MAT 127B Real Analysis,MAT,127B,8,"","",4,,,8
10,MAT 127C Real Analysis,MAT,127C,9,"","",4,,,9
11,MAT 135A Probability,MAT,135A,2;23,"","",4,,,7
12,MAT 150A Modern Algebra,MAT,150A,24;23;22,"","",4,,,7
13,MAT 150B Modern Algebra,MAT,150B,12,"","",4,,,8
14,MAT 150C Modern Algebra,MAT,150C,13,"","",4,,,9
15,MAT 185A Complex Variables,MAT,185A,9;22;23,"","",4,,,10
16,MAT 180 Special Topics,MAT,180,8;22;23,"","",3,,,9
17,STA 013 Elementary Statistics,STA,013,"","","",4,,,2
18,MAT 111 History of Mathematics,MAT,111,19,"","",4,,,8
19,MAT 115A Number Theory,MAT,115A,1,"","",4,,,7
20,MAT 141 Euclidean Geometry,MAT,141,1;22,"","",4,,,8
21,MAT 135B Stochastic Processes,MAT,135B,11;22,"","",4,,,9
22,MAT 022A Linear Algebra,MAT,022A,6;2,"","",3,,,4
23,MAT 108 Intro Abstract Math,MAT,108,1,"","",4,,,5
24,MAT 067 Modern Linear Algebra,MAT,067,2,"","",4,,,4
