Curriculum,LNAS - Native American Studies (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,05.0202
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,NAS 108 Languages of California,NAS,108,"","","",4,,,5
2,NAS 125 NA Performance & Culture,NAS,125,"","","",4,,,7
3,NAS 161 CA Indian Envirn Polcy I,NAS,161,"","","",4,,,10
4,CHI 110 The Chicano Experience,CHI,110,9,"","",4,,,0
5,NAS 192 Internship,NAS,192,"","","",6,,,6
6,NAS 001 Intro To NAS,NAS,001,"","","",4,,,1
7,NAS 010 N A Experience,NAS,010,"","","",4,,,4
8,NAS 005 Intro to NA Lit,NAS,005,"","","",4,,,2
9,CHI 010 Intro Chicana/o Studies,CHI,010,"","","",4,,,7
10,NAS 130A NAS Ethno History,NAS,130A,"","","",4,,,9
11,NAS 157 NA Religion & Phil,NAS,157,"","","",4,,,11
12,NAS 180 NA Women,NAS,180,"","","",4,,,3
13,NAS 119 Intro Fed Indian Law,NAS,119,"","","",4,,,9
14,NAS 130C Nat Amer Ethno-Hist,NAS,130C,"","","",4,,,9
15,NAS 107 Learning Nat Am Langs,NAS,107,"","","",4,,,10
