Curriculum,LNTS - Natural Sciences (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,40.9999
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,CHE 118A Organic Chem Health Sci,CHE,118A,16,"","",4,,,0
2,CHE 118B Organic Chem Health Sci,CHE,118B,1,"","",4,,,0
3,CHE 118C Organic Chem Health Sci,CHE,118C,2,"","",4,,,0
4,BIS 101 Genes & Gene Expression,BIS,101,17;18;1;25,"","",4,,,0
5,EVE 100 Intro to Evolution,EVE,100,17;18;19;23;33,"","",4,,,0
6,NPB 101 Systemic Physiology,NPB,101,17;15,"","",5,,,0
7,NPB 101L Systemic Physiology Lab,NPB,101L,6,"","",3,,,0
8,GEL 181 Teaching in Sci & Math,GEL,181,"","","",2,,,0
9,GEL 183 Teaching HS Math & Sci,GEL,183,"","","",3,,,0
10,CHE 128A Organic Chemistry,CHE,128A,16,"","",3,,,0
11,GEL 109 Sediments & Strata,GEL,109,27,"","",3,,,0
12,GEL 109L Sediments and Strata Lab,GEL,109L,28,11,"",2,,,0
13,CHE 107A Physical Chem Life Sci,CHE,107A,16;31;34,"","",3,,,0
14,CHE 002A General Chemistry,CHE,002A,"","","",5,,,0
15,CHE 002B General Chemistry,CHE,002B,14,"","",5,,,0
16,CHE 002C General Chemistry,CHE,002C,15,"","",5,,,0
17,BIS 002A Introduction to Biology,BIS,002A,"","","",5,,,0
18,BIS 002B Introduction to Biology,BIS,002B,"","","",5,,,0
19,BIS 002C Introduction to Biology,BIS,002C,18,"","",5,,,0
20,GEL 002 Earth System Science,GEL,002,"","","",3,,,0
21,GEL 003 History Of Life,GEL,003,"","","",3,,,0
22,GEL 060 Earth Materials Intro,GEL,060,14;15;27;28;33,"","",4,,,0
23,MAT 016B Short Calculus,MAT,016B,33,"","",3,,,0
24,PHY 007A General Physics,PHY,007A,"",23,"",4,,,0
25,STA 100 Applied Stat for Bio Sci,STA,100,23,"","",4,,,0
26,MAT 017A Calculus for BioSci,MAT,017A,"","","",4,,,0
27,GEL 001 The Earth,GEL,001,"","","",4,,,0
28,GEL 050L Physical Geology Lab,GEL,050L,"",29,"",2,,,0
29,GEL 050 Physical Geology,GEL,050,"","","",3,,,0
30,MAT 021C Calculus,MAT,021C,"","","",4,,,0
31,PHY 007C General Physics,PHY,007C,32,"","",4,,,0
32,PHY 007B General Physics,PHY,007B,24,"","",4,,,0
33,MAT 016A Short Calculus,MAT,016A,"","","",3,,,0
34,MAT 016C Short Calculus,MAT,016C,"","","",3,,,0
