Curriculum,LPHI - Philosophy (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,38.0101
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,PHI 001 Intro To Philos,PHI,001,"","","",4,,,2
2,PHI 012 Intro to Symbol Logic,PHI,012,"","","",4,,,5
3,PHI 112 Intermed Symbolic Logic,PHI,112,2,"","",4,,,8
4,PHI 102 Theory of Knowledge,PHI,102,"","","",4,,,9
5,PHI 119 Philosophy Of Law,PHI,119,"","","",4,,,9
6,PHI 101 Metaphysics,PHI,101,"","","",4,,,9
7,PHI 118 Political Philosophy,PHI,118,"","","",4,,,7
8,PHI 105 Phil Of Religion,PHI,105,"","","",4,,,10
9,PHI 116 Ethical Theories,PHI,116,"","","",4,,,10
10,PHI 103 Philosophy Of Mind,PHI,103,"","","",4,,,11
11,PHI 108 Philosophy of Biology,PHI,108,"","","",4,,,8
