Curriculum,LPHY - Physics (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,40.0801
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MAT 021B Calculus,MAT,021B,4,"","",4,,,1
2,MAT 021C Calculus,MAT,021C,1,"","",4,,,2
3,MAT 021D Vector Analysis,MAT,021D,2,"","",4,,,3
4,MAT 021A Calculus,MAT,021A,"","","",4,,,1
5,MAT 022A Linear Algebra,MAT,022A,2,6,"",3,,,4
6,MAT 022AL Linear Algebra Comp Lab,MAT,022AL,2,"","",1,,,4
7,MAT 022B Differential Equations,MAT,022B,5,"","",3,,,5
8,PHY 080 Experimental Techniques,PHY,080,20,"","",4,,,9
9,PHY 104A Intro Math Phys,PHY,104A,22;3;5;7,"","",4,,,7
10,PHY 105A Analytical Mechanic,PHY,105A,22;3;5;7,"","",4,,,7
11,PHY 110A Electricity & Magnetism,PHY,110A,22;3;5;7;9;10,"","",4,,,8
12,PHY 110B Electricty & Magnetsm,PHY,110B,11;9,"","",4,,,9
13,PHY 112 Thermo & Stat Physics,PHY,112,14,"","",4,,,10
14,PHY 115A Quantum Mechanics,PHY,115A,9;10,"","",4,,,9
15,PHY 122B Adv Lab in Particle Phys,PHY,122B,9;10;12;14;8,13,"",4,,,12
16,PHY 130A Elem Part Physics,PHY,130A,14,"","",4,,,11
17,PHY 102 Computationl Lab Phyiscs,PHY,102,3;5;7;20;24,9,"",1,,,7
18,PHY 115B Quantum Mechanics,PHY,115B,14,"","",4,,,10
19,PHY 105B Analytical Mechanic,PHY,105B,9;10,"","",4,,,8
20,PHY 009D Modern Physics,PHY,009D,21;5,"","",4,,,6
21,PHY 009C Classical Physics,PHY,009C,22;3;5,"","",5,,,5
22,PHY 009B Classical Physics,PHY,009B,23;2,3,"",5,,,4
23,PHY 009A Classical Physics,PHY,009A,1,"","",5,,,3
24,PHY 040 Intr Physics Computation,PHY,040,"","","",4,,,6
