Curriculum,LPSC - Psychology (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,42.2799
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,PSC 001 General Psychology,PSC,001,"","","",4,,,2
2,STA 013 Elementary Statistics,STA,013,"","","",4,,,3
3,PSC 041 Research Meth in Psych,PSC,041,1,"","",4,,,4
4,MAT 017A Calculus for BioSci,MAT,017A,"","","",4,,,1
5,MAT 017B Calculus for BioSci,MAT,017B,4,"","",4,,,2
6,PHY 007A General Physics,PHY,007A,"",5,"",4,,,6
7,PHY 007B General Physics,PHY,007B,6,"","",4,,,7
8,BIS 002A Introduction to Biology,BIS,002A,"","","",5,,,3
9,BIS 002B Introduction to Biology,BIS,002B,"","","",5,,,4
10,BIS 002C Introduction to Biology,BIS,002C,9,"","",5,,,6
11,CHE 002A General Chemistry,CHE,002A,"","","",5,,,2
12,CHE 002B General Chemistry,CHE,002B,11,"","",5,,,3
13,CHE 118A Organic Chem Health Sci,CHE,118A,28,"","",4,,,5
14,CHE 118B Organic Chem Health Sci,CHE,118B,13,"","",4,,,6
15,BIS 101 Genes & Gene Expression,BIS,101,8;9;13;2,"","",4,,,9
16,NPB 101 Systemic Physiology,NPB,101,8;12,"","",5,,,9
17,NPB 101L Systemic Physiology Lab,NPB,101L,16,"","",3,,,10
18,PSC 100 Cognitive Psychology,PSC,100,1;3,"","",4,,,7
19,PSC 135 Cognitive Neuroscience,PSC,135,1;3,"","",4,,,8
20,PSC 101 Intro to Bio Psych,PSC,101,1;3,"","",4,,,7
21,PSC 126 Health Psychology,PSC,126,1;3,"","",4,,,8
22,PSC 125 Behavioral Epigenetics,PSC,125,20,"","",4,,,9
23,PSC 168 Abnormal Psych,PSC,168,1;3,"","",4,,,8
24,PSC 140 Developmental Psychology,PSC,140,1;3,"","",4,,,7
25,PSC 151 Social Psychology,PSC,151,"","","",4,,,7
26,PSC 199 Special Study,PSC,199,"","","",5,,,9
27,PSC 154 Psychology of Emotion,PSC,154,1;3,"","",4,,,8
28,CHE 002C General Chemistry,CHE,002C,12,"","",5,,,3
