Curriculum,LSOR - Sociology-Organizational Studies (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,45.9999
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,SOC 001 Intro Sociology,SOC,001,"","","",5,,,3
2,SOC 002 Self & Society,SOC,002,"","","",4,,,5
3,SOC 005 Global Social Change,SOC,005,"","","",4,,,4
4,SOC 046A Intro Social Rsch,SOC,046A,"","","",4,,,6
5,SOC 056 Intro to Social Stats,SOC,056,"","","",5,,,0
6,ECN 001A Princ Of Microecon,ECN,001A,"","","",5,,,3
7,ECN 001B Princ Of Macroecon,ECN,001B,"","","",5,,,4
8,SOC 100 Sociological Theory,SOC,100,"","","",4,,,9
9,SOC 180A Complex Organizations,SOC,180A,"","","",4,,,8
10,SOC 106 Intermed Soc Stat,SOC,106,5,"","",5,,,10
11,CMN 136 Organizational Communic,CMN,136,"","","",4,,,7
12,SOC 159 Work & Employment,SOC,159,"","","",4,,,9
13,SOC 141 Indust & Social Change,SOC,141,"","","",4,,,8
14,SOC 124 Edu & Inequality in US,SOC,124,"","","",4,,,8
15,SOC 185 Social Policy,SOC,185,"","","",4,,,8
16,SOC 160 Environmental Sociology,SOC,160,"","","",4,,,10
17,SOC 140 Social Stratification,SOC,140,"","","",4,,,9
18,SOC 130 Race Relations,SOC,130,"","","",4,,,9
19,SOC 132 Gender,SOC,132,"","","",4,,,9
