Curriculum,AAEE - Agricultural & Environmental Education (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,13.1301
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,HIS 017A History Of The U S,HIS,017A,"","","",4,,,3,0.19100340136054422,0.15008503401360543,588,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW"", ""Y""]"
2,ANS 001 Domestic Anim & People,ANS,001,"","","",4,,,1,0.18687576875768758,0.22485854858548585,813,202110,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""D"", ""D-"", ""B+"", ""A""]"
3,ANS 002 Intro Animal Sci,ANS,002,"","","",4,,,3,0.3748370927318296,0.23461152882205513,798,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
4,ABT 016 Metal Prop & Fabrication,ABT,016,"","","",2,,,4,,,82,202201,200010,"[""P""]"
5,ABT 101 Engine Technology,ABT,101,"","","",3,,,8,0.7805263157894737,0.741578947368421,38,202201,200101,"[""A"", ""F"", ""P*""]"
6,ABT 052 Field Equipment Welding,ABT,052,4,"","",2,,,8,,,39,202201,200101,"[""P""]"
7,ABT 049 Field Eqpt Operation,ABT,049,"","","",2,,,9,,,235,202203,200010,"["""", ""P""]"
8,ECN 001A Princ Of Microecon,ECN,001A,"","","",5,,,4,-0.2338927097661623,-0.2486588720770289,1454,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
9,ENH 001 Envir Hort/Urban Forest,ENH,001,"","","",3,,,7,0.009679999999999989,-0.0816,125,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""NP*"", ""P*"", ""Y""]"
10,ENH 006 Intro Environ Plant,ENH,006,"","","",4,,,7,0.2425,0.13802631578947372,152,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""NP*"", ""P*""]"
11,ETX 010 Intro Environ Toxicology,ETX,010,"","","",3,,,7,0.4029802513464991,0.3308797127468582,557,202201,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
