Curriculum,AANM - Animal Science and Management (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,01.0999
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,UWP 101 Advanced Composition,UWP,101,34,"","",4,,,9,0.32566681634485856,0.20407723394701394,2227,202201,200510,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""D-"", ""B+"", ""A""]"
2,UWP 104A Business Writing,UWP,104A,34,"","",4,,,8,0.3902020820575628,0.3489712186160441,1633,202201,200510,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-^"", ""F"", ""I"", ""NG"", ""NP*"", ""P*"", ""RW"", ""Y""]"
3,ANS 001 Domestic Anim & People,ANS,001,"","","",4,,,1,0.18687576875768758,0.22485854858548585,813,202110,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""D"", ""D-"", ""B+"", ""A""]"
4,ANS 002 Intro Animal Sci,ANS,002,"","","",4,,,3,0.3748370927318296,0.23461152882205513,798,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
5,BIS 002A Introduction to Biology,BIS,002A,"","","",5,,,4,-0.4075387493319081,-0.3995964724746125,3742,202201,200801,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""D-"", ""B+"", ""A""]"
6,BIS 002B Introduction to Biology,BIS,002B,"","","",5,,,5,-0.5598436062557497,-0.5530772769089237,4348,202201,200803,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""D-"", ""RD"", ""B+"", ""A""]"
7,BIS 002C Introduction to Biology,BIS,002C,6,"","",5,,,6,-0.2832742802910471,-0.28760202467573553,3161,202201,200810,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""I"", ""NP*"", ""P*"", ""RW"", ""Y""]"
8,CHE 002A General Chemistry,CHE,002A,"","","",5,,,1,-0.5722310756972112,-0.5436972111553785,5020,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""A-"", ""C+"", ""C"", ""P*"", ""B-"", ""NC"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""B+"", ""A""]"
9,CHE 002B General Chemistry,CHE,002B,8,"","",5,,,2,-0.6409072741806555,-0.7018205435651479,5004,202201,200101,"[""B"", ""NP*"", ""D+"", ""A+"", ""A-"", ""C+"", ""Y"", ""C"", ""P*"", ""NC"", ""B-"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""D-"", ""B+"", ""A"", ""D+^""]"
10,CHE 008A Organic Chemistry-Brief,CHE,008A,9,"","",2,,,4,-0.6459075342465754,-0.709343607305936,1752,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D^"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
11,CHE 008B Organic Chemistry-Brief,CHE,008B,10,"","",4,,,5,-0.901034255599473,-0.9917391304347827,1518,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW"", ""Y""]"
12,PLS 021 Computers in Technology,PLS,021,"","","",3,,,4,0.071298495645289,0.05326207442596991,1263,202201,200701,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*"", ""Y""]"
13,ECN 001A Princ Of Microecon,ECN,001A,"","","",5,,,4,-0.2338927097661623,-0.2486588720770289,1454,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
14,ECN 001B Princ Of Macroecon,ECN,001B,"","","",5,,,5,-0.21392365456821025,-0.27829161451814766,1598,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*"", ""RW""]"
15,MGT 011A Elementary Accounting,MGT,011A,"","","",4,,,7,-0.27832814930015554,-0.3225505443234837,1286,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
16,MGT 011B Elementary Accounting,MGT,011B,15,"","",4,,,9,0.10313043478260871,0.09326708074534161,805,202201,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
17,MAT 016A Short Calculus,MAT,016A,"","","",3,,,2,-0.4792507204610951,-0.4985533141210375,1735,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D-^"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RD"", ""RW"", ""Y""]"
18,MAT 016B Short Calculus,MAT,016B,17,"","",3,,,3,-0.49025818639798485,-0.5200188916876574,1588,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
19,MAT 016C Short Calculus,MAT,016C,18,"","",3,,,5,-0.47276073619631903,-0.48357873210633945,489,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
20,STA 100 Applied Stat for Bio Sci,STA,100,18,"","",4,,,6,-0.03270428728471967,0.016236716746060833,2729,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
21,BIS 101 Genes & Gene Expression,BIS,101,5;6;10;20,"","",4,,,9,-0.3035435931307794,-0.31077939233817703,3028,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""D-^"", ""RW"", ""C-"", ""I"", ""D"", ""D-"", ""B+"", ""A""]"
22,NUT 115 Animal Nutrition,NUT,115,11,"","",4,,,8,0.011678321678321694,-0.07755244755244754,286,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""I"", ""NP*"", ""P*""]"
23,ANS 100 Animal Physiology,ANS,100,5;9,"","",5,,,9,0.08679577464788733,-0.2785739436619718,568,202103,201603,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*"", ""RW""]"
24,ARE 100A Intermed Microeconomics,ARE,100A,17,"","",4,,,9,-0.4821919770773639,-0.509512893982808,698,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
25,ARE 136 Managerial Marketing,ARE,136,35;37;24;38;39,"","",4,,,0,0.31167146974063403,0.18536023054755046,347,202201,200101,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""NP*"", ""P*""]"
26,ARE 145 Farm & Rural Res Apprais,ARE,145,"","","",4,,,11,-0.3512849162011173,-0.48156424581005586,179,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""NP*"", ""P*""]"
27,ANS 128 Agr Applications of LP,ANS,128,12,"","",4,,,11,0.2315151515151515,0.16303030303030305,33,202201,200101,"[""A"", ""B"", ""B-"", ""B+"", ""C"", ""D"", ""F"", ""NP*"", ""P*""]"
28,ANS 148 Enterprise Analy An Indu,ANS,148,"","","",4,,,12,0.4318181818181818,0.21454545454545448,44,202103,200203,"[""A"", ""A-"", ""B"", ""B+"", ""C"", ""C+"", ""F""]"
29,ANS 041 Domestic Anim Prod,ANS,041,"","","",2,,,4,-0.06542168674698791,-0.06867469879518068,581,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
30,ANS 041L Domestic Animal Prod Lab,ANS,041L,"",29,"",2,,,5,,,356,202201,200010,"[""P""]"
31,ANS 146 Dairy Cattle Production,ANS,146,22,"","",5,,,12,0.5748837209302327,0.1390697674418605,43,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C"", ""P*""]"
32,ANS 192 Internship,ANS,192,"","","",12,,,8,,,114,202203,200010,"["""", ""I"", ""P""]"
33,ARE 112 Organization Management,ARE,112,"","","",4,,,10,-0.21168557536466773,-0.21225283630470018,617,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""I"", ""NG"", ""P*""]"
34,ENL 003 Intro To Literature,ENL,003,"","","",4,,,4,0.43345203183912867,0.4485798072894847,2387,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""RW"", ""C-"", ""D"", ""I"", ""D-"", ""RD"", ""B+"", ""A""]"
35,ARE 100B Intermed Microeconomics,ARE,100B,24;13;14;17;36,"","",4,,,0,-0.34203757225433523,-0.334349710982659,692,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D-^"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
36,ARE 018 Business Law,ARE,018,"","","",4,,,6,0.2625459317585302,0.24292650918635172,762,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""NP*"", ""P*"", ""Y""]"
37,ARE 106 Econometrics,ARE,106,24;38;39;12,"","",4,,,0,-0.23454764776839565,-0.26051869722557297,829,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
38,STA 103 Applied Statistics,STA,103,20;18,"","",4,,,8,-0.14582352941176469,-0.11325882352941176,850,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D-^"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
39,STA 013 Elementary Statistics,STA,013,"","","",4,,,0,-0.21557105775470473,-0.2641336794289422,3082,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW"", ""Y""]"
Overall Average,"","","","","","","","","","",-0.12224593592408918,-0.1764334136163375
