Curriculum,ACRD - Community and Regional Development (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,44.9999
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,CRD 001 The Community,CRD,001,"","","",4,,,4,0.2021176470588235,0.17932352941176471,340,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW"", ""Y""]"
2,CRD 002 Ethnicity & Amer Comm,CRD,002,"","","",4,,,3,0.47258373205741633,0.337799043062201,209,202103,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D-"", ""F"", ""I"", ""NG"", ""NP*"", ""P*""]"
3,PLS 021 Computers in Technology,PLS,021,"","","",3,,,4,0.071298495645289,0.05326207442596991,1263,202201,200701,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*"", ""Y""]"
4,ECN 001A Princ Of Microecon,ECN,001A,"","","",5,,,4,-0.2338927097661623,-0.2486588720770289,1454,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
5,ANT 002 Cultural Anthropology,ANT,002,"","","",5,,,3,0.3768360805860806,0.37669871794871795,2184,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NG"", ""NP*"", ""P*"", ""Y""]"
6,STA 013 Elementary Statistics,STA,013,"","","",4,,,4,-0.21557105775470473,-0.2641336794289422,3082,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW"", ""Y""]"
7,CRD 172 Social Inequality,CRD,172,1,"","",4,,,9,0.08346153846153846,-0.1085897435897436,78,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""F"", ""I"", ""P*""]"
8,CRD 152 Community Development,CRD,152,1,"","",4,,,9,0.2446666666666667,0.1884,75,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""D"", ""D-"", ""F"", ""I"", ""P*""]"
9,CRD 142 Rural Change Indust Wrld,CRD,142,1,"","",4,,,9,0.7518181818181819,0.41212121212121217,33,202105,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""I"", ""NP*""]"
10,CRD 118 Technology & Society,CRD,118,1,"","",4,,,7,-0.18591304347826082,-0.2409565217391304,115,202110,200010,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""F"", ""I"", ""NP*"", ""P*""]"
11,CRD 141 Org of Economic Space,CRD,141,1,"","",4,,,8,0.38555555555555554,0.2065740740740741,108,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""NP*"", ""P*""]"
12,CRD 157 Politics & Community Dev,CRD,157,"","","",4,,,8,0.535673076923077,0.3041346153846154,104,202201,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""F"", ""I"", ""NP*""]"
13,CRD 158 Community Governance,CRD,158,1,"","",4,,,8,-0.11416666666666665,-0.33708333333333335,72,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""F"", ""NP*"", ""P*""]"
