Curriculum,AEHF - Environmental Horticulture and Urban Forestry (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,03.9999
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,ENH 160 Restoration Ecology,ENH,160,5,"","",4,,,9,0.47303571428571434,0.21410714285714286,112,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C-"", ""D"", ""I"", ""P*""]"
2,ENH 160L Restoration Ecology Lab,ENH,160L,"",1,"",1,,,9,0.48169230769230775,0.21015384615384616,65,202103,200403,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""F"", ""I"", ""P*""]"
3,ENH 150 Plant Conservation,ENH,150,31,"","",3,,,7,0.16846153846153844,0.10153846153846154,39,201910,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""F""]"
4,PLS 130 Rangeland Ecology,PLS,130,11,"","",3,,,8,0.2502758620689655,0.19806896551724137,145,202201,200801,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""P*""]"
5,PLS 144 Trees & Forests,PLS,144,13,"","",4,,,8,0.25286458333333334,0.14572916666666672,192,202110,200810,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""NP*"", ""P*""]"
6,PLS 147 CA Plant Communities,PLS,147,13,"","",3,,,9,-0.03896551724137932,-0.2658620689655173,174,202103,201203,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*""]"
7,PLS 147L CA Plant Comm Field,PLS,147L,13,6,"",1,,,0,0.36876712328767125,0.13986301369863016,73,202003,201203,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""NP*"", ""P*""]"
8,ENH 001 Envir Hort/Urban Forest,ENH,001,"","","",3,,,4,0.009679999999999989,-0.0816,125,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""NP*"", ""P*"", ""Y""]"
9,ENH 006 Intro Environ Plant,ENH,006,"","","",4,,,4,0.2425,0.13802631578947372,152,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""NP*"", ""P*""]"
10,LDA 030 History Environ Design,LDA,030,"","","",4,,,5,0.44298642533936655,0.34837104072398195,221,202201,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""F"", ""I"", ""P*""]"
