Curriculum,AEHF - Environmental Horticulture and Urban Forestry (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,03.9999
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,ENH 100 Urban Forestry,ENH,100,6,"","",4,,,7,-0.4414999999999999,-0.6115,20,202110,200210,"[""A"", ""A-"", ""B"", ""B-"", ""C"", ""C+"", ""D-"", ""D+"", ""P*""]"
2,ENH 133 Woody Plants:  Mgmt,ENH,133,11,"","",4,,,8,-0.2964705882352941,-0.4194117647058823,17,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""C"", ""C-"", ""C+"", ""NP*"", ""P*""]"
3,ABT 165 Irrig for Urban Envir,ABT,165,16,"","",3,,,8,0.51375,0.455,24,202101,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C-"", ""I"", ""P*""]"
4,PLS 162 Urban Ecology,PLS,162,"","","",3,,,11,-0.3307766990291262,-0.4114563106796117,103,202201,200801,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""P*""]"
5,LDA 150 Intro to GIS,LDA,150,"","","",4,,,12,0.12270440251572327,-0.026415094339622615,159,202201,200703,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
6,ENH 001 Envir Hort/Urban Forest,ENH,001,"","","",3,,,4,0.009679999999999989,-0.0816,125,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""NP*"", ""P*"", ""Y""]"
7,ENH 006 Intro Environ Plant,ENH,006,"","","",4,,,4,0.2425,0.13802631578947372,152,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""NP*"", ""P*""]"
8,LDA 030 History Environ Design,LDA,030,"","","",4,,,5,0.44298642533936655,0.34837104072398195,221,202201,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""F"", ""I"", ""P*""]"
9,BIS 002B Introduction to Biology,BIS,002B,"","","",5,,,4,-0.5598436062557497,-0.5530772769089237,4348,202201,200803,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""D-"", ""RD"", ""B+"", ""A""]"
10,BIS 002A Introduction to Biology,BIS,002A,"","","",5,,,3,-0.4075387493319081,-0.3995964724746125,3742,202201,200801,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""D-"", ""B+"", ""A""]"
