Curriculum,AEMR - Ecological Management and Restoration (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,01.0199
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,BIS 002B Introduction to Biology,BIS,002B,"","","",5,,,5,-0.5598436062557497,-0.5530772769089237,4348,202201,200803,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""D-"", ""RD"", ""B+"", ""A""]"
2,BIS 002A Introduction to Biology,BIS,002A,"","","",5,,,3,-0.4075387493319081,-0.3995964724746125,3742,202201,200801,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""D-"", ""B+"", ""A""]"
3,BIS 002C Introduction to Biology,BIS,002C,1,"","",5,,,6,-0.2832742802910471,-0.28760202467573553,3161,202201,200810,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""I"", ""NP*"", ""P*"", ""RW"", ""Y""]"
4,CHE 002A General Chemistry,CHE,002A,"","","",5,,,2,-0.5722310756972112,-0.5436972111553785,5020,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""A-"", ""C+"", ""C"", ""P*"", ""B-"", ""NC"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""B+"", ""A""]"
5,CHE 002B General Chemistry,CHE,002B,4,"","",5,,,3,-0.6409072741806555,-0.7018205435651479,5004,202201,200101,"[""B"", ""NP*"", ""D+"", ""A+"", ""A-"", ""C+"", ""Y"", ""C"", ""P*"", ""NC"", ""B-"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""D-"", ""B+"", ""A"", ""D+^""]"
6,PHY 001A Principles Physics,PHY,001A,"","","",3,,,7,-0.17671772428884028,-0.2438730853391685,457,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RD""]"
7,PHY 001B Principles Physics,PHY,001B,6,"","",3,,,9,-0.3905281690140845,-0.475774647887324,284,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
8,MAT 016A Short Calculus,MAT,016A,"","","",3,,,2,-0.4792507204610951,-0.4985533141210375,1735,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D-^"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RD"", ""RW"", ""Y""]"
9,MAT 016B Short Calculus,MAT,016B,8,"","",3,,,2,-0.49025818639798485,-0.5200188916876574,1588,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
10,PLS 120 Applied Stat in Ag Sci,PLS,120,"","","",4,,,8,0.6456692913385826,0.5910236220472441,254,202110,200710,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*""]"
11,SSC 100 Principles Soil Sci,SSC,100,"","","",5,,,10,0.3674517374517375,0.2572972972972973,259,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
12,ESP 001 Environmental Analysis,ESP,001,"",33,"",4,,,7,0.3030406852248394,0.26910064239828696,467,202110,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
13,ENH 160 Restoration Ecology,ENH,160,22,"","",4,,,9,0.47303571428571434,0.21410714285714286,112,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C-"", ""D"", ""I"", ""P*""]"
14,ENH 160L Restoration Ecology Lab,ENH,160L,"",13,"",1,,,9,0.48169230769230775,0.21015384615384616,65,202103,200403,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""F"", ""I"", ""P*""]"
15,PLS 176 Weed Science,PLS,176,3,"","",4,,,11,0.22325301204819278,-0.05698795180722893,83,202101,200901,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""P*""]"
16,SSC 118 Soils-Land Use,SSC,118,"","","",4,,,10,0.34078125000000004,-0.02609374999999999,64,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C+"", ""D+"", ""I"", ""P*""]"
17,ENH 150 Plant Conservation,ENH,150,34,"","",3,,,7,0.16846153846153844,0.10153846153846154,39,201910,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""F""]"
18,PLS 147 CA Plant Communities,PLS,147,3,"","",3,,,9,-0.03896551724137932,-0.2658620689655173,174,202103,201203,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*""]"
19,PLS 147L CA Plant Comm Field,PLS,147L,3,18,"",1,,,0,0.36876712328767125,0.13986301369863016,73,202003,201203,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""NP*"", ""P*""]"
20,EVE 100 Intro to Evolution,EVE,100,2;1;3;8;9,"","",4,,,11,-0.2153030303030303,-0.26300637958532697,1254,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
21,ESM 141 Fire Ecology,ESM,141,2;1,"","",4,,,8,0.2874226804123711,0.1922680412371134,97,202201,201201,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C+"", ""D"", ""I"", ""NP*"", ""P*""]"
22,PLS 130 Rangeland Ecology,PLS,130,1,"","",3,,,8,0.2502758620689655,0.19806896551724137,145,202201,200801,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""P*""]"
