Curriculum,AESM - Environmental Science and Management (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,03.0104
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,ESM 121 Water Science&Management,ESM,121,19,"","",3,,,9,0.6140425531914894,0.3151063829787234,94,202103,201110,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
2,ESP 171 Urban & Regl Planning,ESP,171,"","","",4,,,9,0.25696629213483146,0.06612359550561797,178,202107,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
3,EVE 100 Intro to Evolution,EVE,100,16;17;18;26;25,"","",4,,,9,-0.2153030303030303,-0.26300637958532697,1254,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
4,WFC 154 Conservation Biology,WFC,154,17,"","",4,,,11,0.13026070763500933,-0.004599627560521406,537,202201,200203,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""P*""]"
5,ENH 160 Restoration Ecology,ENH,160,29,"","",4,,,9,0.47303571428571434,0.21410714285714286,112,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C-"", ""D"", ""I"", ""P*""]"
6,ENH 160L Restoration Ecology Lab,ENH,160L,"",5,"",1,,,12,0.48169230769230775,0.21015384615384616,65,202103,200403,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""F"", ""I"", ""P*""]"
7,ESP 121 Population Ecology,ESP,121,17;25,"","",4,,,11,0.02859999999999998,-0.0745,100,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""NP*"", ""P*""]"
8,ESP 151 Limnology,ESP,151,16;17,"","",4,,,9,0.33886956521739137,-0.025565217391304337,115,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C-"", ""C+"", ""F"", ""I"", ""NP*"", ""P*""]"
9,ESP 151L Limnology Laboratory,ESP,151L,"",8,"",3,,,12,0.32296296296296306,0.008888888888888962,27,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""I"", ""NP*"", ""P*""]"
10,PLS 162 Urban Ecology,PLS,162,"","","",3,,,11,-0.3307766990291262,-0.4114563106796117,103,202201,200801,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""P*""]"
