Curriculum,AESM - Environmental Science and Management (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,03.0104
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,ESM 186 Environ Remote Sensing,ESM,186,21;32,"","",5,,,11,-0.28204545454545454,-0.5490909090909091,44,202201,201201,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D-"", ""D+"", ""F"", ""NG"", ""NP*""]"
2,ESM 185 Aerial Photo Interp,ESM,185,"","","",4,,,10,0.011976744186046518,-0.16290697674418606,86,202110,201310,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NG"", ""NP*"", ""P*""]"
3,ESP 171 Urban & Regl Planning,ESP,171,"","","",4,,,9,0.25696629213483146,0.06612359550561797,178,202107,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
4,ESP 172 Public Lands Mgmt,ESP,172,"","","",4,,,10,0.38156976744186044,0.3013372093023256,172,202110,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""F"", ""I"", ""NP*"", ""P*""]"
5,ESP 121 Population Ecology,ESP,121,13;21,"","",4,,,11,0.02859999999999998,-0.0745,100,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""NP*"", ""P*""]"
6,STA 108 Regression Analysis,STA,108,27,"","",4,,,9,-0.24691202872531418,-0.2752423698384201,557,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
7,ATM 116 Modern Climate Change,ATM,116,"","","",3,,,7,-0.46264573991031394,-0.5067713004484304,223,202110,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
8,ATM 133 Biometeorology,ATM,133,21,"","",4,,,8,0.21169230769230768,0.12292307692307693,65,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""D"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
9,ATM 110 Weather Observ & Analy,ATM,110,35,"","",4,,,12,0.16500000000000006,0.3091666666666667,12,202101,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C+"", ""I""]"
10,UWP 101 Advanced Composition,UWP,101,36,"","",4,,,9,0.32566681634485856,0.20407723394701394,2227,202201,200510,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""D-"", ""B+"", ""A""]"
11,DRA 010 Intro To Acting,DRA,010,"","","",4,,,5,0.5942600896860987,0.5015470852017937,446,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
12,BIS 002A Introduction to Biology,BIS,002A,"","","",5,,,4,-0.4075387493319081,-0.3995964724746125,3742,202201,200801,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""D-"", ""B+"", ""A""]"
13,BIS 002B Introduction to Biology,BIS,002B,"","","",5,,,5,-0.5598436062557497,-0.5530772769089237,4348,202201,200803,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""D-"", ""RD"", ""B+"", ""A""]"
14,BIS 002C Introduction to Biology,BIS,002C,13,"","",5,,,6,-0.2832742802910471,-0.28760202467573553,3161,202201,200810,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""I"", ""NP*"", ""P*"", ""RW"", ""Y""]"
