Curriculum,AESM - Environmental Science and Management (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,03.0104
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,ATM 133 Biometeorology,ATM,133,23,"","",4,,,8,0.21169230769230768,0.12292307692307693,65,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""D"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
2,ESM 121 Water Science&Management,ESM,121,17,"","",3,,,9,0.6140425531914894,0.3151063829787234,94,202103,201110,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
3,SSC 100 Principles Soil Sci,SSC,100,"","","",5,,,7,0.3674517374517375,0.2572972972972973,259,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
4,ESM 108 Environmental Monitoring,ESM,108,34;27;35;38;39;3;40;41,"","",3,,,12,0.4822388059701493,0.11671641791044778,67,202103,201203,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""I"", ""P*""]"
5,GEL 035 Rivers,GEL,035,"","","",3,,,10,0.10490909090909088,-0.15490909090909097,55,202103,200203,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""NP*"", ""P*""]"
6,ABT 181N Concepts/Methods in GIS,ABT,181N,31,"","",4,,,11,0.1353571428571429,-0.1264285714285714,28,202101,200901,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C-"", ""C+"", ""D-"", ""NP*"", ""P*""]"
7,ESP 172 Public Lands Mgmt,ESP,172,"","","",4,,,10,0.38156976744186044,0.3013372093023256,172,202110,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""F"", ""I"", ""NP*"", ""P*""]"
8,ESP 168A Environ Policy Eval,ESP,168A,29;25;22,"","",5,,,10,0.2995705521472393,0.21730061349693253,163,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D+"", ""NP*"", ""P*""]"
9,SSC 118 Soils-Land Use,SSC,118,"","","",4,,,9,0.34078125000000004,-0.02609374999999999,64,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C+"", ""D+"", ""I"", ""P*""]"
10,WFC 120 Biol Cons Fishes,WFC,120,14;15;16,"","",3,,,10,0.5444015444015444,0.38891891891891894,259,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C-"", ""C+"", ""D+"", ""I"", ""P*""]"
