Curriculum,AHDE - Human Development (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,42.9999
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,ANT 002 Cultural Anthropology,ANT,002,"","","",5,,,3,0.3768360805860806,0.37669871794871795,2184,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NG"", ""NP*"", ""P*"", ""Y""]"
2,PHI 005 Critical Reasoning,PHI,005,"","","",4,,,6,0.16031456953642384,0.03723509933774835,604,202201,200105,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
3,PHI 031 Scientific Reason,PHI,031,"","","",4,,,6,0.441976401179941,0.35398230088495575,678,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
4,PSC 001 General Psychology,PSC,001,"","","",4,,,2,0.5078982209350434,0.48787339677285896,2417,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""D"", ""I"", ""D-"", ""B+"", ""A""]"
5,STA 013 Elementary Statistics,STA,013,"","","",4,,,4,-0.21557105775470473,-0.2641336794289422,3082,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW"", ""Y""]"
6,HDE 100A Infancy & Early Childhd,HDE,100A,4;24,"","",4,,,7,0.5179928741092636,0.3266270783847981,842,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""I"", ""NG"", ""NP*"", ""P*"", ""Y""]"
7,HDE 100B Mid Childh & Adol,HDE,100B,6;4,"","",4,,,8,0.30545710267229254,0.0948663853727145,711,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
8,HDE 100C Adulthood & Aging,HDE,100C,4,"","",4,,,7,0.021729893778452213,-0.14963581183611532,659,202110,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NG"", ""NP*"", ""P*""]"
9,HDE 120 Res Method Human Develop,HDE,120,5,"","",5,,,9,0.09208237986270024,-0.1730892448512586,437,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NG"", ""NP*"", ""P*""]"
10,HDE 140 Young Children,HDE,140,6,11,"",2,,,10,0.8205,0.46405555555555555,180,202010,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""I"", ""NP*"", ""P*""]"
