Curriculum,AIAD - International Agricultural Development (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,01.0701
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,BIS 002A Introduction to Biology,BIS,002A,"","","",5,,,4,-0.4075387493319081,-0.3995964724746125,3742,202201,200801,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""D-"", ""B+"", ""A""]"
2,BIS 002B Introduction to Biology,BIS,002B,"","","",5,,,6,-0.5598436062557497,-0.5530772769089237,4348,202201,200803,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""D-"", ""RD"", ""B+"", ""A""]"
3,ESP 001 Environmental Analysis,ESP,001,"",29,"",4,,,7,0.3030406852248394,0.26910064239828696,467,202110,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
4,PLS 150 Agroecosystem Management,PLS,150,11;30;10,"","",4,,,9,0.47654205607476635,0.09626168224299068,107,202103,200703,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""I"", ""P*""]"
5,PLS 147 CA Plant Communities,PLS,147,10,"","",3,,,9,-0.03896551724137932,-0.2658620689655173,174,202103,201203,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*""]"
6,PLS 147L CA Plant Comm Field,PLS,147L,10,5,"",1,,,9,0.36876712328767125,0.13986301369863016,73,202003,201203,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""NP*"", ""P*""]"
7,ESP 171 Urban & Regl Planning,ESP,171,"","","",4,,,9,0.25696629213483146,0.06612359550561797,178,202107,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
8,ESP 172 Public Lands Mgmt,ESP,172,"","","",4,,,10,0.38156976744186044,0.3013372093023256,172,202110,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""F"", ""I"", ""NP*"", ""P*""]"
9,IAD 010 Intro Int Ag Dev,IAD,010,"","","",4,,,2,0.5332075471698113,0.5281132075471698,53,202201,200101,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C"", ""D"", ""F"", ""I""]"
10,PLS 002 Bot Physiol Cultiv Plant,PLS,002,"","","",4,,,5,0.06938053097345134,0.043097345132743374,226,202201,200701,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""NP*"", ""P*"", ""RW""]"
11,SSC 010 Soils in Our Environment,SSC,010,"","","",4,,,4,-0.3065644171779141,-0.373680981595092,163,202110,200010,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""NP*"", ""P*""]"
12,ECN 001A Princ Of Microecon,ECN,001A,"","","",5,,,3,-0.2338927097661623,-0.2486588720770289,1454,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
