Curriculum,AIAD - International Agricultural Development (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,01.0701
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,IAD 010 Intro Int Ag Dev,IAD,010,"","","",4,,,2,0.5332075471698113,0.5281132075471698,53,202201,200101,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C"", ""D"", ""F"", ""I""]"
2,PLS 002 Bot Physiol Cultiv Plant,PLS,002,"","","",4,,,5,0.06938053097345134,0.043097345132743374,226,202201,200701,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""NP*"", ""P*"", ""RW""]"
3,SSC 010 Soils in Our Environment,SSC,010,"","","",4,,,4,-0.3065644171779141,-0.373680981595092,163,202110,200010,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""NP*"", ""P*""]"
4,ECN 001A Princ Of Microecon,ECN,001A,"","","",5,,,3,-0.2338927097661623,-0.2486588720770289,1454,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
5,ECN 001B Princ Of Macroecon,ECN,001B,"","","",5,,,3,-0.21392365456821025,-0.27829161451814766,1598,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*"", ""RW""]"
6,STA 013 Elementary Statistics,STA,013,"","","",4,,,4,-0.21557105775470473,-0.2641336794289422,3082,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW"", ""Y""]"
7,MAT 016A Short Calculus,MAT,016A,"","","",3,,,2,-0.4792507204610951,-0.4985533141210375,1735,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D-^"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RD"", ""RW"", ""Y""]"
8,CRD 001 The Community,CRD,001,"","","",4,,,4,0.2021176470588235,0.17932352941176471,340,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW"", ""Y""]"
9,NUT 010 Discov & Concepts,NUT,010,"","","",3,,,3,0.69563133640553,0.6814838709677419,1085,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
10,PLS 001 Ag Nature & Society,PLS,001,"","","",3,,,4,0.8667326732673268,0.7724752475247524,101,201910,200710,"[""A+"", ""A-"", ""F"", ""B+"", ""A""]"
