Curriculum,ANSC - Nutritional Science (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,30.1901
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,PSC 001 General Psychology,PSC,001,"","","",4,,,3,0.5078982209350434,0.48787339677285896,2417,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""D"", ""I"", ""D-"", ""B+"", ""A""]"
2,MAT 016A Short Calculus,MAT,016A,"","","",3,,,1,-0.4792507204610951,-0.4985533141210375,1735,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D-^"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RD"", ""RW"", ""Y""]"
3,MAT 016B Short Calculus,MAT,016B,2,"","",3,,,2,-0.49025818639798485,-0.5200188916876574,1588,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
4,PHY 007A General Physics,PHY,007A,"",3,"",4,,,5,-0.5162073608617594,-0.5204578096947935,2228,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
5,PHY 007B General Physics,PHY,007B,4,"","",4,,,6,-0.4513762811127379,-0.492938018545632,2049,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RD"", ""Y""]"
6,BIS 102 Struc & Func Biomolecule,BIS,102,14;21,"","",3,,,7,-0.42196174595389896,-0.4893035801863658,2039,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""A-"", ""C+"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""I"", ""D"", ""D-"", ""B+"", ""A""]"
7,BIS 103 Bioenergetics/Metabolism,BIS,103,6,"","",3,,,9,-0.46874643874643873,-0.5783703703703703,1755,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""NC"", ""B-"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""D-"", ""NG"", ""B+"", ""A"", ""D+^""]"
8,MCB 120 Laboratory Assoc Lect,MCB,120,6,"","",3,,,11,-0.20083333333333336,-0.16766129032258065,372,202201,201801,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D+"", ""F"", ""I"", ""P*"", ""RD""]"
9,MCB 120L Molec Biol & Biochem Lab,MCB,120L,6,"","",6,,,11,-0.1980913978494624,-0.16612903225806452,372,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D+"", ""F"", ""I"", ""P*""]"
10,NPB 114 GI Physiology,NPB,114,29,"","",3,,,7,-0.050478260869565195,-0.22386956521739132,230,202110,200110,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
11,NUT 104 Cell Reg/Nutrient Metab,NUT,104,25;7,"","",4,,,10,0.09317073170731709,-0.1841463414634146,41,202110,200503,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""D+"", ""F""]"
12,NUT 117 Experimental Nutrition,NUT,117,31;32;6;7,"","",6,,,10,0.38470588235294123,0.17500000000000004,34,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C+""]"
13,EXB 110 Exercise Metabolism,EXB,110,29,"","",3,,,12,0.15333333333333335,-0.15525114155251138,219,202103,200501,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
14,BIS 002A Introduction to Biology,BIS,002A,"","","",5,,,3,-0.4075387493319081,-0.3995964724746125,3742,202201,200801,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""D-"", ""B+"", ""A""]"
15,BIS 002B Introduction to Biology,BIS,002B,"","","",5,,,4,-0.5598436062557497,-0.5530772769089237,4348,202201,200803,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""D-"", ""RD"", ""B+"", ""A""]"
16,BIS 002C Introduction to Biology,BIS,002C,15,"","",5,,,6,-0.2832742802910471,-0.28760202467573553,3161,202201,200810,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""I"", ""NP*"", ""P*"", ""RW"", ""Y""]"
