Curriculum,APLA - Pre-Landscape Architecture (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,04.0601
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,UWP 001 Academic Literacies,UWP,001,"","","",4,,,0,0.4180289855072464,0.43430917874396135,2070,202201,200510,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""I"", ""D"", ""D-"", ""NG"", ""B+"", ""A""]"
2,CMN 001 Intro Public Speaking,CMN,001,"","","",4,,,0,0.2659681881051176,0.21903872752420472,1446,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""I"", ""D"", ""D-"", ""B+"", ""A""]"
3,BIS 002B Introduction to Biology,BIS,002B,"","","",5,,,0,-0.5598436062557497,-0.5530772769089237,4348,202201,200803,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""D-"", ""RD"", ""B+"", ""A""]"
4,BIS 002A Introduction to Biology,BIS,002A,"","","",5,,,0,-0.4075387493319081,-0.3995964724746125,3742,202201,200801,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""D-"", ""B+"", ""A""]"
5,ENH 006 Intro Environ Plant,ENH,006,"","","",4,,,0,0.2425,0.13802631578947372,152,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""NP*"", ""P*""]"
6,MAT 016A Short Calculus,MAT,016A,"","","",3,,,0,-0.4792507204610951,-0.4985533141210375,1735,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D-^"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RD"", ""RW"", ""Y""]"
7,GEL 001 The Earth,GEL,001,"","","",4,,,0,0.3176671035386632,0.23373525557011796,763,202201,200010,"[""B"", ""NP*"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""D"", ""I"", ""D-"", ""B+"", ""A""]"
8,LDA 001 Intro Environ Design,LDA,001,"","","",4,,,0,0.4867941176470589,0.45897058823529413,340,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C-"", ""C+"", ""D"", ""F"", ""I"", ""NG"", ""NP*"", ""P*""]"
9,"LDA 002 Place, Culture, Comm",LDA,002,"","","",4,,,0,0.06740088105726876,-0.044140969162995564,227,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D"", ""F"", ""I"", ""NP*"", ""P*""]"
10,LDA 003 Sustainable Development,LDA,003,"","","",4,,,0,0.43295698924731185,0.3467741935483871,372,202103,200803,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D"", ""F"", ""I"", ""NG"", ""NP*"", ""P*""]"
11,LDA 021 Land Rep I,LDA,021,"",8,"",5,,,0,0.09154362416107382,-0.009932885906040271,149,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""I"", ""P*""]"
12,LDA 030 History Environ Design,LDA,030,"","","",4,,,0,0.44298642533936655,0.34837104072398195,221,202201,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""F"", ""I"", ""P*""]"
13,LDA 050 Site Ecology,LDA,050,3,"","",4,,,0,-0.024094488188976367,-0.17440944881889764,127,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*""]"
14,LDA 060 Landform Grading Studio,LDA,060,15,"","",6,,,0,-0.79,-0.8375510204081632,49,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""P*""]"
15,LDA 070 Intro to Spacemaking,LDA,070,11,"","",5,,,0,0.12462068965517241,-0.022758620689655167,145,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""NP*"", ""P*""]"
Overall Average,"","","","","","","","","","",0.04198262933470333,-0.024052980556993637
