Curriculum,ASAF - Sustainable Agriculture and Food Systems (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,01.0308
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,CMN 001 Intro Public Speaking,CMN,001,"","","",4,,,7,0.2659681881051176,0.21903872752420472,1446,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""I"", ""D"", ""D-"", ""B+"", ""A""]"
2,PLS 015 Intro Sustainable Agric,PLS,015,"","","",4,,,6,0.3582727272727273,0.223,110,202110,200903,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D"", ""F"", ""I"", ""NP*"", ""P*""]"
3,CRD 020 Food Systems,CRD,020,"","","",4,,,7,0.2535820895522388,0.23619402985074628,134,202110,200810,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""I"", ""P*""]"
4,PLS 150 Agroecosystem Management,PLS,150,13;14;15,"","",4,,,9,0.47654205607476635,0.09626168224299068,107,202103,200703,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""I"", ""P*""]"
5,ARE 121 Econ of Ag Sustain,ARE,121,16,"","",4,,,8,-0.36965277777777783,-0.5344444444444444,144,202201,200903,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
6,PLS 190 Seminar on Altern Agric,PLS,190,"","","",2,,,8,,,98,202201,200701,"[""NP"", ""P""]"
7,ESP 191A Sustainability Workshop,ESP,191A,2;3;5;4,"","",3,,,11,0.7289333333333333,0.7658666666666666,75,202201,201201,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""P*""]"
8,ESP 191B Sustainability Workshop,ESP,191B,7,"","",3,,,12,0.7228070175438597,0.4714035087719298,57,202103,201203,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""P*""]"
9,SAF 192 Internship,SAF,192,"","","",12,,,8,,,237,202203,201310,"["""", ""I"", ""NC"", ""NP"", ""P""]"
10,PLS 049 Organic Crop Prod Pract,PLS,049,"","","",3,,,9,,,141,202203,200703,"["""", ""I"", ""P""]"
11,ANS 049C Animal Prac/Dairy,ANS,049C,"","","",2,,,5,,,65,202201,200010,"[""NP"", ""P""]"
12,ABT 049 Field Eqpt Operation,ABT,049,"","","",2,,,12,,,235,202203,200010,"["""", ""P""]"
13,SSC 010 Soils in Our Environment,SSC,010,"","","",4,,,4,-0.3065644171779141,-0.373680981595092,163,202110,200010,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""NP*"", ""P*""]"
14,CHE 002A General Chemistry,CHE,002A,"","","",5,,,2,-0.5722310756972112,-0.5436972111553785,5020,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""A-"", ""C+"", ""C"", ""P*"", ""B-"", ""NC"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""B+"", ""A""]"
15,PLS 002 Bot Physiol Cultiv Plant,PLS,002,"","","",4,,,5,0.06938053097345134,0.043097345132743374,226,202201,200701,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""NP*"", ""P*"", ""RW""]"
16,ECN 001A Princ Of Microecon,ECN,001A,"","","",5,,,3,-0.2338927097661623,-0.2486588720770289,1454,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
Overall Average,"","","","","","","","","","",0.08707156015227681,0.022148778182333587
