Curriculum,AVEN - Viticulture and Enology (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,01.1099
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,BIS 002A Introduction to Biology,BIS,002A,"","","",5,,,3,-0.4075387493319081,-0.3995964724746125,3742,202201,200801,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""D-"", ""B+"", ""A""]"
2,CHE 002A General Chemistry,CHE,002A,"","","",5,,,1,-0.5722310756972112,-0.5436972111553785,5020,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""A-"", ""C+"", ""C"", ""P*"", ""B-"", ""NC"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""B+"", ""A""]"
3,CHE 002B General Chemistry,CHE,002B,2,"","",5,,,2,-0.6409072741806555,-0.7018205435651479,5004,202201,200101,"[""B"", ""NP*"", ""D+"", ""A+"", ""A-"", ""C+"", ""Y"", ""C"", ""P*"", ""NC"", ""B-"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""D-"", ""B+"", ""A"", ""D+^""]"
4,CHE 002C General Chemistry,CHE,002C,3,"","",5,,,3,-0.6246739926739927,-0.689871794871795,2730,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D^"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RD"", ""RW"", ""Y""]"
5,CHE 008B Organic Chemistry-Brief,CHE,008B,6,"","",4,,,6,-0.901034255599473,-0.9917391304347827,1518,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW"", ""Y""]"
6,CHE 008A Organic Chemistry-Brief,CHE,008A,3,"","",2,,,4,-0.6459075342465754,-0.709343607305936,1752,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D^"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
7,MAT 016A Short Calculus,MAT,016A,"","","",3,,,1,-0.4792507204610951,-0.4985533141210375,1735,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D-^"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RD"", ""RW"", ""Y""]"
8,MAT 016B Short Calculus,MAT,016B,7,"","",3,,,3,-0.49025818639798485,-0.5200188916876574,1588,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
9,PHY 007A General Physics,PHY,007A,"",8,"",4,,,5,-0.5162073608617594,-0.5204578096947935,2228,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
10,PLS 002 Bot Physiol Cultiv Plant,PLS,002,"","","",4,,,5,0.06938053097345134,0.043097345132743374,226,202201,200701,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""NP*"", ""P*"", ""RW""]"
11,PLS 021 Computers in Technology,PLS,021,"","","",3,,,4,0.071298495645289,0.05326207442596991,1263,202201,200701,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*"", ""Y""]"
