Curriculum,BMMM - Molecular & Medical Microbiology (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,26.0502
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,BIS 002B Introduction to Biology,BIS,002B,"","","",5,,,3,-0.5598436062557497,-0.5530772769089237,4348,202201,200803,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""D-"", ""RD"", ""B+"", ""A""]"
2,BIS 002A Introduction to Biology,BIS,002A,"","","",5,,,3,-0.4075387493319081,-0.3995964724746125,3742,202201,200801,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""D-"", ""B+"", ""A""]"
3,BIS 002C Introduction to Biology,BIS,002C,1,"","",5,,,4,-0.2832742802910471,-0.28760202467573553,3161,202201,200810,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""I"", ""NP*"", ""P*"", ""RW"", ""Y""]"
4,CHE 002A General Chemistry,CHE,002A,"","","",5,,,1,-0.5722310756972112,-0.5436972111553785,5020,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""A-"", ""C+"", ""C"", ""P*"", ""B-"", ""NC"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""B+"", ""A""]"
5,CHE 002B General Chemistry,CHE,002B,4,"","",5,,,2,-0.6409072741806555,-0.7018205435651479,5004,202201,200101,"[""B"", ""NP*"", ""D+"", ""A+"", ""A-"", ""C+"", ""Y"", ""C"", ""P*"", ""NC"", ""B-"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""D-"", ""B+"", ""A"", ""D+^""]"
6,CHE 118A Organic Chem Health Sci,CHE,118A,27,"","",4,,,4,-1.1394145569620253,-1.1695991561181434,1896,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NG"", ""NP*"", ""P*"", ""RD"", ""RW"", ""Y""]"
7,CHE 118B Organic Chem Health Sci,CHE,118B,6,"","",4,,,5,-0.7226096866096866,-0.8290085470085471,1755,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D^"", ""D-"", ""D+"", ""D+^"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
8,CHE 118C Organic Chem Health Sci,CHE,118C,7,"","",4,,,6,-0.9794197642792384,-1.1104079782411604,1103,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RD"", ""RW"", ""Y""]"
9,MAT 017A Calculus for BioSci,MAT,017A,"","","",4,,,1,-0.6372477064220183,-0.6142008691453404,2071,202201,200110,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NG"", ""NP*"", ""P*"", ""RD"", ""RW"", ""Y""]"
10,MAT 017B Calculus for BioSci,MAT,017B,9,"","",4,,,2,-0.3681593545133636,-0.3828895612708018,1983,202201,200201,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D^"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW"", ""Y""]"
11,PHY 007B General Physics,PHY,007B,12,"","",4,,,7,-0.4513762811127379,-0.492938018545632,2049,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RD"", ""Y""]"
12,PHY 007A General Physics,PHY,007A,"",10,"",4,,,6,-0.5162073608617594,-0.5204578096947935,2228,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
13,PHY 007C General Physics,PHY,007C,11,"","",4,,,8,-0.46628196721311477,-0.5021704918032788,1525,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D^"", ""D-"", ""D+"", ""D+^"", ""F"", ""I"", ""NC"", ""NP*"", ""P*"", ""RD"", ""Y""]"
14,BIS 101 Genes & Gene Expression,BIS,101,2;1;6;28,"","",4,,,7,-0.3035435931307794,-0.31077939233817703,3028,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""D-^"", ""RW"", ""C-"", ""I"", ""D"", ""D-"", ""B+"", ""A""]"
15,BIS 102 Struc & Func Biomolecule,BIS,102,2;7,"","",3,,,8,-0.42196174595389896,-0.4893035801863658,2039,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""A-"", ""C+"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""I"", ""D"", ""D-"", ""B+"", ""A""]"
16,BIS 103 Bioenergetics/Metabolism,BIS,103,15,"","",3,,,9,-0.46874643874643873,-0.5783703703703703,1755,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""NC"", ""B-"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""D-"", ""NG"", ""B+"", ""A"", ""D+^""]"
17,MIC 102 Intro Microbiology,MIC,102,2,5,"",4,,,5,0.04466934763181412,0.0175603217158177,2238,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
18,MIC 105 Microbial Diversity,MIC,105,17,"","",5,,,8,-0.16633720930232557,-0.33767441860465114,172,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""NP*"", ""P*""]"
19,MIC 105L Microbial Diversity Lab,MIC,105L,17;29,18,"",3,,,12,0.47303797468354425,0.3670886075949367,79,202201,200601,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""F""]"
20,MIC 111 Human Microbiology,MIC,111,17;14,"","",3,,,10,0.540841121495327,0.38700934579439256,214,202110,201710,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C+"", ""P*"", ""RW""]"
21,MIC 115 Recombinant DNA Cloning,MIC,115,14,"","",3,,,10,-0.34536082474226804,-0.5807216494845361,97,202110,201010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""P*"", ""RW""]"
22,MIC 162 General Virology,MIC,162,14,"","",4,,,11,0.04113821138211383,-0.03626016260162603,246,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""P*""]"
23,BIS 104 Cell Biology,BIS,104,14;15,"","",3,,,10,-0.4276658673061551,-0.5153157474020783,1251,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW"", ""Y""]"
24,MIC 191 Intro Research Adv,MIC,191,2,"","",1,,,7,,,148,202203,200903,"["""", ""P""]"
25,MIC 170 Yeast Molecular Genetics,MIC,170,14,"","",3,,,9,-0.023178294573643433,-0.29651162790697677,129,202103,200203,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""NP*"", ""P*""]"
26,MIC 198 Directed Gp Study,MIC,198,"","","",5,,,11,0.15647058823529408,0.10529411764705877,17,202103,200103,"[""A"", ""A+"", ""B"", ""B+"", ""F"", ""P""]"
27,CHE 002C General Chemistry,CHE,002C,5,"","",5,,,3,-0.6246739926739927,-0.689871794871795,2730,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D^"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RD"", ""RW"", ""Y""]"
28,STA 100 Applied Stat for Bio Sci,STA,100,10,"","",4,,,5,-0.03270428728471967,0.016236716746060833,2729,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
29,MIC 104L General Microbiology Lab,MIC,104L,17;7,"","",3,,,7,0.3814689265536723,0.23757062146892655,177,202201,201210,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""I"", ""P*""]"
Overall Average,"","","","","","","","","","",-0.30762268094699907,-0.3728108611519614
