Curriculum,LAAA - African American and African Studies (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,05.0201
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,AAS 010 African-Am Culture & Soc,AAS,010,"","","",4,,,1,0.19608333333333333,0.14708333333333332,120,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
2,AAS 050 Black Images,AAS,050,"","","",4,,,2,0.5141463414634146,0.5446341463414633,82,202201,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
3,PSC 001 General Psychology,PSC,001,"","","",4,,,2,0.5078982209350434,0.48787339677285896,2417,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""D"", ""I"", ""D-"", ""B+"", ""A""]"
4,CHI 010 Intro Chicana/o Studies,CHI,010,"","","",4,,,5,0.6215134459036898,0.6379799874921827,1599,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
5,HIS 017A History Of The U S,HIS,017A,"","","",4,,,3,0.19100340136054422,0.15008503401360543,588,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW"", ""Y""]"
6,HIS 017B History Of The U S,HIS,017B,"","","",4,,,5,0.07790400000000001,0.03500800000000001,625,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
7,AAS 016 African Verbal Arts,AAS,016,"","","",4,,,7,0.7112328767123288,0.703013698630137,73,202110,200201,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C"", ""C+"", ""P*""]"
8,AAS 100 Ethnicity in the US,AAS,100,"","","",4,,,8,0.5472815533980583,0.4435922330097088,103,202103,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""I"", ""P*""]"
9,AAS 181 Hip Hop in Urban America,AAS,181,"","","",4,,,9,0.55991452991453,0.3832478632478632,117,202101,200703,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D+"", ""F"", ""NP*"", ""P*""]"
10,AAS 123 The Black Female,AAS,123,"","","",4,,,11,0.6324137931034483,0.5475172413793103,145,202110,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""I"", ""NP*"", ""P*""]"
11,AAS 190 Topics Afr Diaspora Std,AAS,190,"","","",4,,,7,0.7497058823529412,0.44,34,202101,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""P*""]"
12,AAS 133 The Black Family,AAS,133,"","","",4,,,7,0.9528571428571428,0.43571428571428567,14,202105,200207,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""F"", ""I"", ""P*""]"
13,AAS 165 Black Christian Church,AAS,165,1;17,"","",4,,,6,0.7114705882352942,0.15294117647058827,34,202003,200303,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""P*""]"
14,AAS 182 Hip Hop Globalization,AAS,182,"","","",4,,,6,0.49777777777777776,0.40611111111111114,54,202003,201403,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C-"", ""C+"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
15,AAS 145A Blk Soc & Pol Thought,AAS,145A,1,"","",4,,,9,0.5205714285714286,0.43885714285714283,35,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C+""]"
16,AAS 107A Africans in Latin Americ,AAS,107A,"","","",4,,,7,0.4545714285714286,0.3026666666666667,105,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""F"", ""I"", ""NP*"", ""P*""]"
17,AAS 015 Int Afr Amer Humanities,AAS,015,"","","",4,,,6,0.27144578313253015,0.27849397590361447,166,202110,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""P*""]"
Overall Average,"","","","","","","","","","",0.5128112663307608,0.3844011348790513
