Curriculum,LAMS - American Studies (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,05.0102
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,AMS 010 Intro American Studies,AMS,010,"","","",4,,,4,0.44336879432624116,0.4364716312056738,564,202201,200303,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
2,AMS 030 Amr Images in Pop Cltr,AMS,030,"",1,"",4,,,2,0.5431428571428571,0.5826666666666667,210,202201,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C+"", ""D+"", ""F"", ""I"", ""NG"", ""P*""]"
3,CHI 010 Intro Chicana/o Studies,CHI,010,"",2,"",4,,,2,0.6215134459036898,0.6379799874921827,1599,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
4,ANT 002 Cultural Anthropology,ANT,002,"",3,"",5,,,2,0.3768360805860806,0.37669871794871795,2184,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NG"", ""NP*"", ""P*"", ""Y""]"
5,HIS 017B History Of The U S,HIS,017B,"",4,"",4,,,12,0.07790400000000001,0.03500800000000001,625,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
6,ENL 003 Intro To Literature,ENL,003,"",5,"",4,,,5,0.43345203183912867,0.4485798072894847,2387,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""RW"", ""C-"", ""D"", ""I"", ""D-"", ""RD"", ""B+"", ""A""]"
7,AMS 100 Methods American Studies,AMS,100,"",6,"",4,,,9,0.39586206896551723,0.07551724137931039,29,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""I"", ""NG"", ""NP*""]"
8,AMS 160 Undergraduate Seminar,AMS,160,"",7,"",4,,,9,0.6121428571428572,0.2721428571428572,28,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""F"", ""P*""]"
9,AMS 130 Amer Pop Culture,AMS,130,"",8,"",4,,,7,0.6232307692307693,0.48392307692307696,130,202201,200201,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""D"", ""F"", ""I"", ""P*""]"
10,AMS 152 Children In America,AMS,152,"",9,"",4,,,6,0.4003703703703704,0.1293333333333333,135,202201,200203,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D"", ""F"", ""I"", ""NG"", ""P*""]"
11,AMS 190A Senior Thesis,AMS,190A,"",10,"",4,,,10,0.11499999999999999,0.050000000000000044,4,202110,200010,"[""A"", ""P*""]"
Overall Average,"","","","","","","","","","",0.4220748432279555,0.3207564835801185
