Curriculum,LASA - Asian American Studies (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,05.0206
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,ASA 001 Hist Exp Asian Am,ASA,001,"","","",4,,,6,0.3012179487179487,0.3169871794871795,312,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
2,ASA 002 Contemp Iss Asian Amer,ASA,002,"","","",4,,,5,0.5386500000000001,0.5268999999999999,200,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C+"", ""D"", ""F"", ""I"", ""P*""]"
3,ASA 004 AsianAm Cultural Studies,ASA,004,"","","",4,,,4,0.6136101083032491,0.5800361010830325,277,202110,200701,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""F"", ""P*""]"
4,WMS 050 Intro Gender Studies,WMS,050,"","","",4,,,2,0.5300377358490567,0.444622641509434,530,202105,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""I"", ""NP*"", ""P*""]"
5,NAS 005 Intro to NA Lit,NAS,005,"","","",4,,,4,0.530788643533123,0.5103785488958991,634,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
6,STA 013 Elementary Statistics,STA,013,"","","",4,,,3,-0.21557105775470473,-0.2641336794289422,3082,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW"", ""Y""]"
7,PSC 041 Research Meth in Psych,PSC,041,15,"","",4,,,4,0.21611431870669745,0.22489030023094692,1732,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
8,ASA 192 Internships,ASA,192,"","","",5,,,11,,,34,202203,200010,"["""", ""NG"", ""P""]"
9,ASA 189B Topics Asian Am Culture,ASA,189B,"","","",4,,,8,0.46038461538461545,0.2844871794871795,78,202201,200703,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""C+"", ""F"", ""NP*"", ""P*""]"
10,ASA 150 Filipino American Exp,ASA,150,"","","",4,,,9,0.7083200000000001,0.42536,125,202101,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""C"", ""I"", ""P*""]"
11,ASA 114 Asian Diasporas,ASA,114,"","","",4,,,8,0.39,0.06173913043478262,23,202001,200610,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""P*""]"
12,ASA 102 Theoretical Persp AsAmer,ASA,102,"","","",4,,,7,0.38916666666666666,0.058611111111111135,36,202010,201110,"[""A"", ""A-"", ""B"", ""B+"", ""I"", ""P*""]"
13,ASA 150E Southeast Asian Am Exp,ASA,150E,"","","",4,,,11,0.40580645161290324,0.23032258064516126,31,202103,200603,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+""]"
14,ASA 100 Asian Amer Communities,ASA,100,"","","",4,,,10,0.254,0.13359999999999997,25,202103,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C+"", ""F""]"
15,PSC 001 General Psychology,PSC,001,"","","",4,,,2,0.5078982209350434,0.48787339677285896,2417,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""D"", ""I"", ""D-"", ""B+"", ""A""]"
Overall Average,"","","","","","","","","","",0.3753615767969733,0.2681116326819095
