Curriculum,LCDM - Cinema and Digital Media (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,50.0601
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,FMS 001 Intro to Film Studies,FMS,001,"","","",4,,,2,0.2968976897689769,0.16085808580858088,606,202010,200410,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
2,CDM 002 Intro Technocult Studies,CDM,002,"","","",4,,,7,0.42107317073170736,0.3940975609756098,205,202110,201910,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""D-"", ""F"", ""I"", ""P*""]"
3,CTS 012 Media Computation,CTS,012,"","","",4,,,5,-0.02739130434782606,-0.1012173913043478,115,202101,201401,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
4,CDM 020 Filmmaking Foundations,CDM,020,"","","",5,,,7,0.0388505747126437,0.003965517241379326,174,202110,201907,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""NP*"", ""P*"", ""RW""]"
5,CTS 040A Media History 1,CTS,040A,"","","",4,,,6,-0.19092105263157894,-0.23394736842105265,76,202201,201703,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D+"", ""F"", ""NP*"", ""P*""]"
6,CTS 041B Cinema Hist 1945 to now,CTS,041B,"","","",4,,,7,0.4496363636363637,0.19127272727272732,55,202001,201601,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C+"", ""P*""]"
7,CTS 150 Media Theory,CTS,150,"","","",5,,,9,0.6491129032258064,0.49040322580645157,124,202103,201410,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""I"", ""P*""]"
8,CTS 116 Design on Screen,CTS,116,"","","",4,,,7,0.38358490566037734,0.10273584905660378,106,202101,201401,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
9,CDM 198 Directed Group Study,CDM,198,"","","",5,,,10,0.3701234567901235,0.14296296296296296,81,202103,201810,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""I"", ""NP"", ""P""]"
10,TCS 155 Intro Doc Studies,TCS,155,"","","",4,,,7,0.45956709956709957,0.3362770562770563,231,202110,200410,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C+"", ""D-"", ""F"", ""I"", ""P*""]"
11,FMS 127 Film Theory,FMS,127,1,"","",4,,,8,0.1635555555555556,0.05177777777777781,45,202201,200403,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C"", ""NP*"", ""P*""]"
12,CDM 156 Epic Television,CDM,156,"","","",4,,,9,0.02297297297297297,-0.1354054054054054,111,202105,201903,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
13,CDM 121 Intro to Sonic Arts,CDM,121,"","","",4,,,10,0.4540740740740741,0.26814814814814814,81,202010,201901,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""F"", ""NP*"", ""P*""]"
14,FMS 124 US Film History,FMS,124,1,"","",4,,,10,0.38697916666666665,0.03916666666666667,96,202010,200601,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D"", ""F"", ""NP*"", ""P*""]"
15,FMS 125 Film Genres,FMS,125,1,"","",4,,,6,0.28975609756097565,0.07609756097560975,41,202001,200507,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""I"", ""P*""]"
Overall Average,"","","","","","","","","","",0.27785811159626256,0.11914619825591789
