Curriculum,LCGS - Cognitive Science (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,30.2501
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,ECS 020 Discrete Math for CS,ECS,020,6,"","",4,,,5,-0.46822857142857144,-0.3621,700,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""F"", ""NG"", ""NP*"", ""P*""]"
2,ECS 032A Intro to Programming,ECS,032A,"","","",4,,,6,0.3623398058252427,0.34330582524271847,2060,202201,201810,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW"", ""Y""]"
3,ECS 032B Intro to Data Structures,ECS,032B,2,"","",4,,,6,-0.2643640350877193,-0.2517543859649123,456,202201,201810,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
4,ECS 036C Data Structures,ECS,036C,28;1,"","",4,,,6,-0.5077453027139875,-0.4325678496868476,479,202201,201810,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*""]"
5,LIN 001 Intro Linguistics,LIN,001,"","","",4,,,4,0.10367759944173065,0.08463363572923936,1433,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""I"", ""D"", ""D-"", ""NG"", ""B+"", ""A""]"
6,MAT 017A Calculus for BioSci,MAT,017A,"","","",4,,,1,-0.6372477064220183,-0.6142008691453404,2071,202201,200110,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NG"", ""NP*"", ""P*"", ""RD"", ""RW"", ""Y""]"
7,MAT 017B Calculus for BioSci,MAT,017B,6,"","",4,,,3,-0.3681593545133636,-0.3828895612708018,1983,202201,200201,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D^"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW"", ""Y""]"
8,MAT 017C Calculus for BioSci,MAT,017C,7,"","",4,,,4,-0.2337940379403794,-0.2191869918699187,1107,202201,200203,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RD"", ""RW"", ""Y""]"
9,MAT 022A Linear Algebra,MAT,022A,8,10,"",3,,,6,-0.3027013963480129,-0.2573576799140709,1862,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*"", ""RW"", ""Y""]"
10,MAT 022AL Linear Algebra Comp Lab,MAT,022AL,8,"","",1,,,5,,,1394,202203,200010,"["""", ""NC"", ""NP"", ""P""]"
