Curriculum,LCHI - Chicana Chicano Studies (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,05.0203
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,CHI 010 Intro Chicana/o Studies,CHI,010,"","","",4,,,4,0.6215134459036898,0.6379799874921827,1599,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
2,CHI 050 Intro To Chicano Culture,CHI,050,"","","",4,,,3,0.7412367021276596,0.7300000000000001,752,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
3,CHI 021 Health Issues,CHI,021,1,"","",4,,,7,0.7012025316455697,0.5484810126582278,158,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
4,CHI 040 Comparative Health,CHI,040,11,"","",4,,,8,0.6614285714285715,0.5005142857142857,175,202201,200501,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""I"", ""P*""]"
5,CHI 110 The Chicano Experience,CHI,110,1,"","",4,,,9,0.7093790849673203,0.47552287581699343,306,202110,200210,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D-"", ""D+"", ""F"", ""I""]"
6,CHI 130 Us Mex Bord Rel,CHI,130,"","","",4,,,7,0.6976510067114094,0.47312080536912754,298,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""I"", ""NG"", ""NP*"", ""P*""]"
7,CHI 182 Race & Juvenile Justice,CHI,182,1,"","",4,,,8,0.8063917525773195,0.5916494845360825,291,202110,200801,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C"", ""C-"", ""C+"", ""I"", ""P*""]"
8,CHI 198 Directed Gp Study,CHI,198,"","","",5,,,9,0.6034146341463416,0.37000000000000005,41,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""I"", ""P""]"
9,AAS 107A Africans in Latin Americ,AAS,107A,"","","",4,,,9,0.4545714285714286,0.3026666666666667,105,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""F"", ""I"", ""NP*"", ""P*""]"
10,AAS 100 Ethnicity in the US,AAS,100,"","","",4,,,6,0.5472815533980583,0.4435922330097088,103,202103,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""I"", ""P*""]"
11,STA 013 Elementary Statistics,STA,013,"","","",4,,,4,-0.21557105775470473,-0.2641336794289422,3082,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW"", ""Y""]"
Overall Average,"","","","","","","","","","",0.5753181503384239,0.43721760653039393
