Curriculum,LCSI - Computer Science (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,11.0101
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,MAT 021C Calculus,MAT,021C,2,"","",4,,,3,-0.6115875299760192,-0.5438177458033573,2085,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*"", ""RW"", ""Y""]"
2,MAT 021B Calculus,MAT,021B,3,"","",4,,,2,-0.5188492555831266,-0.4977698511166253,3224,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*"", ""RW"", ""Y""]"
3,MAT 021A Calculus,MAT,021A,"","","",4,,,1,-0.3247931338028169,-0.3174163732394366,2272,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*"", ""RD"", ""RW"", ""Y""]"
4,MAT 022A Linear Algebra,MAT,022A,1,5,"",3,,,4,-0.3027013963480129,-0.2573576799140709,1862,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*"", ""RW"", ""Y""]"
5,MAT 022AL Linear Algebra Comp Lab,MAT,022AL,1,"","",1,,,4,,,1394,202203,200010,"["""", ""NC"", ""NP"", ""P""]"
6,ECS 020 Discrete Math for CS,ECS,020,3,"","",4,,,3,-0.46822857142857144,-0.3621,700,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""F"", ""NG"", ""NP*"", ""P*""]"
7,ECS 036A Programming,ECS,036A,27,"","",4,,,1,0.0464139941690962,0.16174927113702622,686,202201,201810,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NC"", ""NP*"", ""P*"", ""Y""]"
8,ECS 036B Object-Oriented Program,ECS,036B,7,"","",4,,,4,-0.2981186685962373,-0.17839363241678727,691,202201,201810,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
9,ECS 036C Data Structures,ECS,036C,8;6,"","",4,,,4,-0.5077453027139875,-0.4325678496868476,479,202201,201810,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*""]"
10,ECS 050 Machine Dependent Prog,ECS,050,8,"","",4,,,4,-0.5364829396325459,-0.4788713910761155,381,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*"", ""Y""]"
11,CHE 002A General Chemistry,CHE,002A,"","","",5,,,2,-0.5722310756972112,-0.5436972111553785,5020,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""A-"", ""C+"", ""C"", ""P*"", ""B-"", ""NC"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""B+"", ""A""]"
12,PHY 009A Classical Physics,PHY,009A,2,"","",5,,,3,-0.5993810786914235,-0.4216976127320955,1131,202201,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*"", ""RW"", ""Y""]"
13,CHE 002B General Chemistry,CHE,002B,11,"","",5,,,3,-0.6409072741806555,-0.7018205435651479,5004,202201,200101,"[""B"", ""NP*"", ""D+"", ""A+"", ""A-"", ""C+"", ""Y"", ""C"", ""P*"", ""NC"", ""B-"", ""F"", ""RW"", ""C-"", ""I"", ""D"", ""D-"", ""B+"", ""A"", ""D+^""]"
14,ECS 122A Algorithm Design & Anyls,ECS,122A,6;9,"","",4,,,6,-0.10201787994891443,-0.11687100893997446,783,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NG"", ""NP*"", ""P*""]"
15,ECS 120 Theory Computation,ECS,120,6,"","",4,,,7,-0.008118161925601738,0.013479212253829337,457,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""I"", ""NP*"", ""P*""]"
16,ECS 140A Programming Languages,ECS,140A,10;9;6;17,"","",4,,,8,-0.14184905660377356,-0.19984905660377356,530,202201,200010,"["""", ""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
17,ECS 150 Operating Systems,ECS,150,9;18,"","",4,,,9,-0.38290880503144653,-0.4319654088050315,636,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*"", ""Y""]"
18,ECS 154A Computer Architecture,ECS,154A,10,"","",4,,,7,-0.20681564245810055,-0.20772811918063314,537,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
19,ECS 132 Prob & Sta Model for CS,ECS,132,8;6;1;4,"","",4,,,9,-0.1973542600896861,-0.18475336322869954,446,202201,200901,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
