Curriculum,LEAS - East Asian Studies (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,05.0104
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,HIS 009A East Asian Civ,HIS,009A,"","","",4,,,2,0.19152941176470595,0.016117647058823563,85,202105,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D-"", ""F"", ""NP*"", ""P*""]"
2,JPN 010 Masterworks Jpn Lit,JPN,010,"","","",4,,,5,-0.0030434782608695656,0.051521739130434785,92,202110,200701,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""NP*"", ""P*""]"
3,JPN 002 Elementary Japanese,JPN,002,4,"","",5,,,3,0.03574626865671643,-0.009626865671641786,402,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*""]"
4,JPN 001 Elementary Japanese,JPN,001,"","","",5,,,1,0.033380062305295964,-0.0067912772585669535,642,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*""]"
5,JPN 102 Mid-Era Lit In Engl,JPN,102,"","","",4,,,11,0.004044943820224745,-0.08505617977528088,89,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""NP*"", ""P*"", ""Y""]"
6,JPN 101 Early Lit In Engl,JPN,101,"","","",4,,,7,-0.3012658227848101,-0.2836708860759494,79,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
7,JPN 103 Modern Lit In Engl,JPN,103,"","","",4,,,7,-0.02999999999999998,-0.27203883495145625,103,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*""]"
8,ANT 148A Cult Pol Econ Cont China,ANT,148A,"","","",4,,,10,0.25029126213592234,0.09213592233009708,103,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""NG"", ""NP*"", ""P*""]"
9,JPN 106 Japanese Culture & Film,JPN,106,"","","",4,,,8,0.0638888888888889,-0.015000000000000022,36,202103,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D+"", ""F"", ""NP*"", ""P*""]"
10,HIS 191F History People Rep China,HIS,191F,"","","",4,,,9,0.2272277227722772,0.0896039603960396,101,202101,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D-"", ""F"", ""NP*"", ""P*""]"
11,JPN 155 Intro Japanese Folklore,JPN,155,"","","",4,,,8,0.34425925925925926,0.2645679012345679,162,202201,201610,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""D"", ""P*""]"
12,CHN 197T Tutoring in Chinese,CHN,197T,"","","",3,,,5,,,92,202203,200010,"["""", ""P""]"
13,JPN 109 Japanese Popular Culture,JPN,109,"","","",5,,,10,0.4966176470588235,0.24294117647058822,68,202101,200201,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C"", ""C-"", ""C+"", ""NP*"", ""P*"", ""Y""]"
14,CHN 104 Mod Chinese Fict (Engl),CHN,104,"","","",4,,,8,-0.058749999999999976,-0.12374999999999997,48,202010,200210,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""NP*"", ""P*""]"
Overall Average,"","","","","","","","","","",0.08956615468688818,-0.0027889783651674415
