Curriculum,LGEL - Geology (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,40.0601
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,GEL 050 Physical Geology,GEL,050,"","","",3,,,4,-0.15320158102766795,-0.1343478260869565,253,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
2,GEL 050L Physical Geology Lab,GEL,050L,"",1,"",2,,,4,0.2117021276595745,0.28936170212765955,188,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
3,GEL 053 Intro to Geobiology,GEL,053,1,"","",3,,,8,0.5805882352941176,0.6973529411764706,34,202201,201910,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""I"", ""NP*"", ""P*""]"
4,GEL 055 Intro to Geochemistry,GEL,055,1;11;12,"","",3,,,8,0.3451724137931034,0.13068965517241382,29,202110,202001,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""I"", ""P*""]"
5,GEL 056 Intro to Geophysics,GEL,056,1;14;15,"","",4,,,9,0.07611111111111114,0.06611111111111113,18,202110,201903,"[""A"", ""A-"", ""B"", ""B+"", ""C+"", ""F""]"
6,GEL 060 Earth Materials Intro,GEL,060,11;12;8;1;2,"","",4,,,7,-0.01862068965517246,-0.2510344827586207,29,202110,200010,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D"", ""F"", ""P*""]"
7,MAT 021B Calculus,MAT,021B,8,"","",4,,,2,-0.5188492555831266,-0.4977698511166253,3224,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*"", ""RW"", ""Y""]"
8,MAT 021A Calculus,MAT,021A,"","","",4,,,1,-0.3247931338028169,-0.3174163732394366,2272,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*"", ""RD"", ""RW"", ""Y""]"
9,MAT 022A Linear Algebra,MAT,022A,35,10,"",3,,,5,-0.3027013963480129,-0.2573576799140709,1862,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*"", ""RW"", ""Y""]"
10,MAT 022AL Linear Algebra Comp Lab,MAT,022AL,35,"","",1,,,5,,,1394,202203,200010,"["""", ""NC"", ""NP"", ""P""]"
