Curriculum,"LGSW - Gender, Sexuality and Women's Studies (BA)"
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,05.0299
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,GSW 050 Intro to Gender Studies,GSW,050,"","","",4,,,0,0.43149681528662426,0.47222929936305735,314,202201,202110,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""I"", ""P*""]"
2,WMS 060 Feminist Critiques,WMS,060,"","","",4,,,5,0.454468085106383,0.3353900709219858,141,202101,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D"", ""D+"", ""F"", ""I"", ""P*""]"
3,WMS 070 Sexualities,WMS,070,"","","",4,,,5,0.42839590443686004,0.3309897610921501,293,202110,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""F"", ""I"", ""NP*"", ""P*""]"
4,WMS 050 Intro Gender Studies,WMS,050,"","","",4,,,2,0.5300377358490567,0.444622641509434,530,202105,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""I"", ""NP*"", ""P*""]"
5,PSC 001 General Psychology,PSC,001,"","","",4,,,2,0.5078982209350434,0.48787339677285896,2417,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""D"", ""I"", ""D-"", ""B+"", ""A""]"
6,GSW 103 Intro to Fem Theory,GSW,103,1,"","",4,,,0,0.2911111111111111,0.37388888888888894,18,202110,202110,"[""A"", ""A-"", ""B"", ""B+"", ""F""]"
7,WMS 104 Feminist Research,WMS,104,"","","",4,,,8,-0.2518518518518519,-0.4003703703703704,54,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""I"", ""NG"", ""P*""]"
8,WMS 137 Contemp Feminist Theory,WMS,137,2,"","",4,,,8,0.46181818181818185,0.2602272727272727,44,202201,200803,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C-"", ""C+"", ""F"", ""I"", ""NP*"", ""P*""]"
9,WMS 170 Queer Studies,WMS,170,"","","",4,,,6,0.38424418604651167,0.27244186046511626,172,202201,200507,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""I"", ""NP*"", ""P*""]"
10,WMS 190 Senior Seminar,WMS,190,"","","",4,,,12,0.3754761904761905,0.17404761904761906,42,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C+"", ""I""]"
11,WMS 103 Intro To Fem Theory,WMS,103,"","","",4,,,7,0.3201190476190477,0.1229761904761905,84,202010,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""F"", ""I"", ""NP*"", ""P*""]"
12,WMS 175 Gender & Race Experience,WMS,175,"","","",4,,,9,0.32,0.16737373737373737,99,202110,201503,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
13,WMS 198 Directed Gp Study,WMS,198,"","","",5,,,9,,,25,202203,200010,"["""", ""P""]"
14,WMS 138 Critical Fashion Studies,WMS,138,"","","",4,,,9,0.503625,0.3669375,160,202110,200501,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""I"", ""NG"", ""NP*"", ""P*""]"
15,CHI 182 Race & Juvenile Justice,CHI,182,18,"","",4,,,9,0.8063917525773195,0.5916494845360825,291,202110,200801,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C"", ""C-"", ""C+"", ""I"", ""P*""]"
16,AAS 123 The Black Female,AAS,123,"","","",4,,,10,0.6324137931034483,0.5475172413793103,145,202110,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""I"", ""NP*"", ""P*""]"
17,HIS 184 Sexuality in US,HIS,184,"","","",4,,,6,0.4485093167701864,0.2668944099378882,161,202105,200310,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
18,CHI 010 Intro Chicana/o Studies,CHI,010,"","","",4,,,3,0.6215134459036898,0.6379799874921827,1599,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
Overall Average,"","","","","","","","","","",0.403648163065989,0.30292605508963355
