Curriculum,LIRE - International Relations (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,45.0901
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,ANT 002 Cultural Anthropology,ANT,002,"","","",5,,,3,0.3768360805860806,0.37669871794871795,2184,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NG"", ""NP*"", ""P*"", ""Y""]"
2,ECN 001B Princ Of Macroecon,ECN,001B,"",1,"",5,,,3,-0.21392365456821025,-0.27829161451814766,1598,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*"", ""RW""]"
3,HIS 010C 19th-20th Century World,HIS,010C,"",2,"",4,,,4,0.246584440227704,0.2557495256166983,527,202201,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
4,POL 003 Internatl Relations,POL,003,"",3,"",4,,,3,-0.11241565452091766,-0.1276923076923077,741,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""I"", ""D"", ""D-"", ""B+"", ""A""]"
5,STA 013 Elementary Statistics,STA,013,"",4,"",4,,,3,-0.21557105775470473,-0.2641336794289422,3082,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW"", ""Y""]"
6,POL 002 Intro Comp Politics,POL,002,"",5,"",4,,,4,-0.014550264550264532,-0.053611111111111096,756,202110,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
7,POL 051 Scientific Study Politic,POL,051,"",6,"",4,,,4,-0.14222052067381316,-0.15163859111791728,653,202201,200401,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
8,HIS 193B Middle East from 1914,HIS,193B,"",7,"",4,,,6,0.285625,0.20925000000000002,80,202103,200701,"[""A"", ""A-"", ""A+"", ""F"", ""I"", ""NP*"", ""P*""]"
9,SOC 118 Political Sociology,SOC,118,"",8,"",4,,,9,-0.18306666666666663,-0.27326666666666666,300,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
10,ANT 123AN Resist Rebel & Pop Mvmnt,ANT,123AN,"",9,"",4,,,9,0.5416483516483517,0.2386813186813187,91,202010,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""D"", ""F"", ""I"", ""NP*"", ""P*""]"
11,POL 126 Ethnic Conflict,POL,126,"",10,"",4,,,7,-0.45199999999999996,-0.24000000000000002,15,202201,200010,"[""A"", ""A-"", ""A+"", ""B-"", ""B+"", ""C"", ""D"", ""F"", ""P*""]"
12,IRE 104 International Migration,IRE,104,"",11,"",4,,,9,0.43571428571428567,0.30428571428571427,28,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""F""]"
13,HMR 134 Human Rights,HMR,134,"",12,"",4,,,10,0.055313653136531374,-0.026014760147601474,271,202110,201403,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D"", ""F"", ""NP*"", ""P*"", ""Y""]"
Overall Average,"","","","","","","","","","",0.046767230198336646,-0.0023064195500188305
