Curriculum,LMCO - Mathematical and Scientific Computation (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,27.0303
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,MAT 021C Calculus,MAT,021C,19,"","",4,,,2,-0.6115875299760192,-0.5438177458033573,2085,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*"", ""RW"", ""Y""]"
2,MAT 022A Linear Algebra,MAT,022A,1,3,"",3,,,3,-0.3027013963480129,-0.2573576799140709,1862,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*"", ""RW"", ""Y""]"
3,MAT 022AL Linear Algebra Comp Lab,MAT,022AL,1,"","",1,,,3,,,1394,202203,200010,"["""", ""NC"", ""NP"", ""P""]"
4,MAT 108 Intro Abstract Math,MAT,108,19,"","",4,,,4,-0.15362745098039216,-0.18919934640522876,612,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW"", ""Y""]"
5,ECS 032A Intro to Programming,ECS,032A,"","","",4,,,4,0.3623398058252427,0.34330582524271847,2060,202201,201810,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW"", ""Y""]"
6,ENG 006 Engineering Prob Solving,ENG,006,20,19,"",4,,,3,0.05725576289791438,0.2064763995609221,911,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
7,MAT 127A Real Analysis,MAT,127A,2;4;1,"","",4,,,5,-0.3811803278688525,-0.3342295081967213,305,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
8,MAT 127B Real Analysis,MAT,127B,7,"","",4,,,6,-0.21838565022421522,-0.26183856502242153,223,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
9,MAT 127C Real Analysis,MAT,127C,8,"","",4,,,9,-0.38539325842696626,-0.4641011235955056,178,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NG"", ""NP*"", ""P*"", ""Y""]"
10,MAT 128A Numerical Analysis,MAT,128A,1;6,"","",4,,,7,-0.0962087912087912,-0.1389010989010989,182,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
11,MAT 128B Numerical Analysis,MAT,128B,2;6,"","",4,,,8,-0.2713223140495868,-0.20471074380165288,121,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""D"", ""F"", ""NP*"", ""P*""]"
12,MAT 128C Numerical Analysis,MAT,128C,21;2;6,"","",4,,,9,0.17478632478632475,-0.07965811965811967,117,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*""]"
13,MAT 135A Probability,MAT,135A,1;4,"","",4,,,7,-0.14033898305084747,-0.13271186440677965,295,202201,200610,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
14,MAT 150A Modern Algebra,MAT,150A,22;4;2,"","",4,,,8,-0.20060465116279072,-0.20706976744186045,215,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
15,MAT 168 Optimization,MAT,168,1;2;4,"","",4,,,8,-0.14151079136690647,-0.07856115107913668,139,202201,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
16,MAT 145 Combinatorics,MAT,145,1,"","",4,,,6,-0.15988847583643123,-0.23602230483271378,269,202201,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""F"", ""I"", ""NP*"", ""P*""]"
