Curriculum,LMSA - Middle East South Asia Studies (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,05.0108
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,HIS 006 Intro to Middle East,HIS,006,"","","",4,,,6,0.01873015873015878,0.006031746031746041,63,202201,200403,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D-"", ""F"", ""NP*"", ""P*""]"
2,HIS 008 Indian Civilization,HIS,008,"","","",4,,,9,0.20882978723404258,0.24053191489361705,94,202110,200103,"[""A"", ""A-"", ""B"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""NP*"", ""P*"", ""Y""]"
3,ARB 022 Intermediate Arabic 22,ARB,022,13,"","",5,,,8,0.453030303030303,0.4984848484848485,33,202201,200801,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""NP*""]"
4,ARB 022L Colloquial Levantine ARB,ARB,022L,14,"","",4,,,9,0.6455555555555557,0.6622222222222223,9,202101,201801,"[""A"", ""A+"", ""P*""]"
5,MSA 100 Comparative Perspectives,MSA,100,"","","",4,,,7,0.547,0.39625000000000005,40,202201,200501,"[""A"", ""A-"", ""A+"", ""B+"", ""F"", ""I"", ""P*""]"
6,MSA 180 ME/SA Selected Themes,MSA,180,"","","",4,,,12,0.3875,0.07083333333333336,24,202103,200605,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""NP*"", ""P*""]"
7,HIS 193B Middle East from 1914,HIS,193B,"","","",4,,,6,0.285625,0.20925000000000002,80,202103,200701,"[""A"", ""A-"", ""A+"", ""F"", ""I"", ""NP*"", ""P*""]"
8,POL 135 Intrnatl Pol Middle East,POL,135,"","","",4,,,5,0.2327102803738318,0.20457943925233646,107,202110,200810,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""F"", ""I"", ""NP*"", ""P*""]"
9,ANT 145 South Asia,ANT,145,15,"","",4,,,9,0.46347826086956523,0.2709782608695652,92,202001,200503,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D-"", ""F"", ""NP*"", ""P*""]"
10,HIS 196B India,HIS,196B,"","","",4,,,9,0.21445783132530122,0.1513253012048193,83,202110,200010,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C+"", ""F"", ""P*""]"
11,ARB 023 Intermediate Arabic  23,ARB,023,3,"","",5,,,7,0.48923076923076925,0.31038461538461537,26,202103,200803,"[""A"", ""A-"", ""A+"", ""P*""]"
12,ARB 023L Colloquial Levantine ARB,ARB,023L,4,"","",4,,,10,0.27749999999999997,0.2375,8,202103,201803,"[""A+""]"
13,ARB 021 Intermediate Arabic 21,ARB,021,16,"","",5,,,7,0.4605714285714285,0.3617142857142857,35,202110,200710,"[""A"", ""A-"", ""A+"", ""B"", ""C+"", ""NG"", ""P*""]"
14,ARB 021L Colloquial Levantine Arb,ARB,021L,16,"","",4,,,8,0.6268181818181818,0.620909090909091,22,202010,201710,"[""A"", ""A-"", ""A+""]"
15,ANT 002 Cultural Anthropology,ANT,002,"","","",5,,,2,0.3768360805860806,0.37669871794871795,2184,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NG"", ""NP*"", ""P*"", ""Y""]"
16,ARB 003 Elem Arabic 3,ARB,003,17,"","",5,,,6,0.4593333333333333,0.39777777777777773,90,202103,200703,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C"", ""C-"", ""P*""]"
17,ARB 002 Elem Arabic 2,ARB,002,18,"","",5,,,5,0.356969696969697,0.40010101010101007,99,202201,200701,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""F"", ""NP*"", ""P*""]"
18,ARB 001 Elem Arabic 1,ARB,001,"","","",5,,,4,0.5959493670886076,0.5789240506329114,158,202110,200610,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C-"", ""C+"", ""D"", ""F"", ""NP*"", ""P*""]"
Overall Average,"","","","","","","","","","",0.39445144637315877,0.3330275897089387
