Curriculum,LMUS - Music (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,50.0901
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,MUS 101A Advanced Theory,MUS,101A,26,"","",4,,,10,-0.33499999999999996,-0.34874999999999995,24,202110,200210,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""D"", ""D-"", ""D+"", ""NP*""]"
2,MUS 101B Advanced Theory,MUS,101B,1,"","",4,,,11,-0.17583333333333337,-0.2833333333333334,24,202201,200301,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C-"", ""C+"", ""D+"", ""F"", ""P*""]"
3,MUS 103 Wrkshp in Composition,MUS,103,17,"","",3,,,7,0.46,0.5144827586206897,29,202201,200301,"[""A"", ""A-"", ""A+"", ""B"", ""B+""]"
4,MUS 121 Topics Mus Schol,MUS,121,17;32,"","",4,,,9,0.46,0.14999999999999997,13,202103,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B+""]"
5,MUS 123 Music as Culture,MUS,123,31,"","",4,,,7,0.11893617021276595,0.12702127659574472,47,202110,201510,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D+"", ""I""]"
6,MUS 124D Music History 4,MUS,124D,32,"","",4,,,0,0.16480000000000003,0.19279999999999997,25,202201,202201,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C"", ""F""]"
7,MUS 131A Voice,MUS,131A,"","","",2,,,8,0.5455714285714285,0.6114285714285714,70,202203,200010,"["""", ""A"", ""A-"", ""A+"", ""NG""]"
8,MUS 131B Piano,MUS,131B,"","","",2,,,7,0.6066666666666667,0.521969696969697,66,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""I""]"
9,MUS 131E Violin,MUS,131E,"","","",2,,,4,0.45523809523809516,0.4892857142857142,42,202201,200010,"[""A"", ""A+""]"
10,MUS 141 University Symphony,MUS,141,"","","",2,,,6,,,143,202203,200010,"[""NP"", ""P""]"
11,MUS 146 Chamber Music,MUS,146,"","","",1,,,6,,,102,202203,200010,"["""", ""I"", ""NG"", ""P""]"
12,MUS 143 University Concert Band,MUS,143,"","","",2,,,6,,,117,202203,200101,"["""", ""I"", ""P""]"
