Curriculum,LNAS - Native American Studies (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,05.0202
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,NAS 001 Intro To NAS,NAS,001,"","","",4,,,1,0.28332493702770783,0.28463476070528965,397,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
2,NAS 010 N A Experience,NAS,010,"",1,"",4,,,4,0.32333333333333336,0.19842592592592592,108,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D-"", ""D+"", ""F"", ""P*"", ""RW""]"
3,NAS 005 Intro to NA Lit,NAS,005,"",2,"",4,,,2,0.530788643533123,0.5103785488958991,634,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
4,CHI 010 Intro Chicana/o Studies,CHI,010,"",3,"",4,,,7,0.6215134459036898,0.6379799874921827,1599,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
5,NAS 130A NAS Ethno History,NAS,130A,"",4,"",4,,,9,0.5541463414634146,0.37682926829268293,41,202010,200010,"[""A"", ""A-"", ""B-"", ""B+"", ""C"", ""C-"", ""I"", ""P*""]"
6,NAS 157 NA Religion & Phil,NAS,157,"",5,"",4,,,11,0.6117241379310344,0.48241379310344834,29,202101,200201,"[""A"", ""A-"", ""A+"", ""B+"", ""C"", ""F"", ""NP*"", ""P*""]"
7,NAS 180 NA Women,NAS,180,"",6,"",4,,,3,0.34121212121212124,0.1554545454545455,33,202107,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""F""]"
8,NAS 119 Intro Fed Indian Law,NAS,119,"",7,"",4,,,9,0.6375,0.2475,36,202103,201110,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""F"", ""I"", ""NP*"", ""P*""]"
9,NAS 130C Nat Amer Ethno-Hist,NAS,130C,"",8,"",4,,,9,0.4245,0.08849999999999998,40,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""I"", ""NP*"", ""P*""]"
10,NAS 107 Learning Nat Am Langs,NAS,107,"",9,"",4,,,10,0.6231578947368421,0.6618421052631579,38,202110,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""F"", ""NP*""]"
Overall Average,"","","","","","","","","","",0.4951200855141266,0.36439589351331325
