Curriculum,LNTS - Natural Sciences (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,40.9999
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,CHE 105 Anly & Phys Chem Methods,CHE,105,"",3,"",4,,,0,-0.25809160305343515,-0.4130534351145038,131,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""I"", ""NG"", ""NP*"", ""P*""]"
2,CHE 107A Physical Chem Life Sci,CHE,107A,15;27;32,"","",3,,,0,-0.2753984575835476,-0.34308483290488434,389,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
3,CHE 107B Phys Chem Life Sci,CHE,107B,2,"","",3,,,0,-0.33033678756476686,-0.4327720207253886,386,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*""]"
4,CHE 118A Organic Chem Health Sci,CHE,118A,15,"","",4,,,0,-1.1394145569620253,-1.1695991561181434,1896,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NG"", ""NP*"", ""P*"", ""RD"", ""RW"", ""Y""]"
5,CHE 118B Organic Chem Health Sci,CHE,118B,4,"","",4,,,0,-0.7226096866096866,-0.8290085470085471,1755,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D^"", ""D-"", ""D+"", ""D+^"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
6,CHE 124A Inorg Fundamentals,CHE,124A,15,"","",3,,,0,-0.10596638655462186,-0.14705882352941177,238,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
7,CHE 118C Organic Chem Health Sci,CHE,118C,5,"","",4,,,0,-0.9794197642792384,-1.1104079782411604,1103,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RD"", ""RW"", ""Y""]"
8,GEL 181 Teaching in Sci & Math,GEL,181,"","","",2,,,0,,,11,202203,200803,"["""", ""P""]"
9,GEL 183 Teaching HS Math & Sci,GEL,183,"","","",3,,,0,0.6728571428571428,0.4485714285714285,14,202201,200901,"[""A"", ""A+"", ""B"", ""P*""]"
10,GEL 109 Sediments & Strata,GEL,109,29,"","",3,,,0,0.19885714285714284,0.118,35,202110,200101,"[""A"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""F"", ""I"", ""NP*""]"
