Curriculum,LPHI - Philosophy (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,38.0101
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,PHI 014 Eth & Soc Probs Cont Soc,PHI,014,"","","",4,,,8,0.5116875000000001,0.3843125,160,202103,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
2,PHI 005 Critical Reasoning,PHI,005,"","","",4,,,5,0.16031456953642384,0.03723509933774835,604,202201,200105,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
3,PHI 024 Introduction to Ethics,PHI,024,"","","",4,,,6,0.19471428571428576,0.0031428571428571677,70,202201,200203,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""NP*"", ""P*""]"
4,PHI 117 Foundation of Ethics,PHI,117,"","","",4,,,10,0.01435483870967741,-0.10951612903225805,62,202201,200203,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
5,PHI 137C Semantics & Pragmatics,PHI,137C,"","","",4,,,9,-0.25226415094339627,-0.25528301886792454,53,202110,200803,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C-"", ""C+"", ""F"", ""I"", ""NG"", ""P*""]"
6,PHI 131 Philos Logic & Math,PHI,131,11,"","",4,,,8,0.44800000000000006,0.274,20,202101,200410,"[""A"", ""A-"", ""A+"", ""B+"", ""NP*""]"
7,PHI 114 History of Ethics,PHI,114,"","","",4,,,10,-0.1371052631578947,-0.2573684210526316,38,202010,200305,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C+"", ""D-"", ""I"", ""P*""]"
8,PHI 121 Bioethics,PHI,121,"","","",4,,,9,0.27263157894736845,0.036140350877192993,57,202103,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""NP*"", ""P*""]"
9,PHI 175 Kant,PHI,175,"","","",4,,,11,-0.2673214285714286,-0.4171428571428572,56,202201,200303,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""F"", ""I"", ""NG"", ""NP*"", ""P*"", ""Y""]"
10,PHI 001 Intro To Philos,PHI,001,"","","",4,,,2,0.28916398713826363,0.325048231511254,622,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""D"", ""D-"", ""B+"", ""A""]"
11,PHI 012 Intro to Symbol Logic,PHI,012,"","","",4,,,5,-0.12615664845173044,-0.2105646630236794,549,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
12,PHI 112 Intermed Symbolic Logic,PHI,112,11,"","",4,,,8,-0.11790983606557376,-0.2795901639344262,244,202110,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*"", ""Y""]"
13,PHI 102 Theory of Knowledge,PHI,102,"","","",4,,,9,0.1814492753623189,0.14420289855072468,69,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C-"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
14,PHI 119 Philosophy Of Law,PHI,119,"","","",4,,,9,0.29121495327102803,0.08813084112149534,107,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""F"", ""NP*"", ""P*""]"
