Curriculum,LPHY - Physics (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,40.0801
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,PHY 104A Intro Math Phys,PHY,104A,26;19;21;23,"","",4,,,7,-0.07284722222222223,-0.10875000000000001,144,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""NP*"", ""P*""]"
2,PHY 105A Analytical Mechanic,PHY,105A,26;19;21;23,"","",4,,,7,-0.5397297297297298,-0.4008108108108108,74,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""NP*"", ""P*""]"
3,PHY 108 Optics,PHY,108,27;20;17;18;19,"","",3,,,6,0.11000000000000008,0.11888888888888895,18,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""D+"", ""P*""]"
4,PHY 110A Electricity & Magnetism,PHY,110A,26;19;21;23;1;2,"","",4,,,8,-0.341328125,-0.293046875,128,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*""]"
5,PHY 110B Electricty & Magnetsm,PHY,110B,4;1,"","",4,,,9,-0.31,-0.35141509433962265,106,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
6,PHY 112 Thermo & Stat Physics,PHY,112,7,"","",4,,,10,-0.05487603305785124,0.10966942148760331,121,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""I"", ""P*""]"
7,PHY 115A Quantum Mechanics,PHY,115A,1;2,"","",4,,,9,-0.24207207207207204,-0.24711711711711712,111,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
8,PHY 115B Quantum Mechanics,PHY,115B,7,"","",4,,,10,-0.24802083333333333,-0.09937499999999998,96,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*""]"
9,PHY 102 Computationl Lab Phyiscs,PHY,102,19;21;23;28;24,1,"",1,,,7,0.10525423728813564,0.12288135593220341,59,202110,200410,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
10,PHY 151 Stellar Astrophysics,PHY,151,27,"","",4,,,7,-0.3086111111111111,-0.15249999999999997,36,202110,200710,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""I"", ""P*""]"
11,PHY 152 Galactic Structure,PHY,152,27,2,"",4,,,7,0.05590909090909099,-0.1886363636363636,22,202010,200810,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""P*""]"
12,PHY 153 Extragalactic Astrophys,PHY,153,27;1;2,"","",4,,,8,-0.10439999999999998,-0.11320000000000001,25,202201,200801,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+""]"
13,PHY 156 Intro to Cosmology,PHY,156,27,2,"",4,,,9,0.17956521739130438,0.11565217391304344,23,202101,200903,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C-"", ""C+"", ""P*""]"
14,PHY 122B Adv Lab in Particle Phys,PHY,122B,1;2;5;7;25,6,"",4,,,12,0.1705,0.14500000000000005,20,202201,200901,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""P*""]"
15,PHY 105B Analytical Mechanic,PHY,105B,1;2,"","",4,,,8,-0.16469135802469137,-0.2502469135802469,81,202101,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C-"", ""C+"", ""D+"", ""F"", ""I"", ""NP*""]"
16,PHY 110C Electricty & Magnetsm,PHY,110C,5,"","",4,,,10,-0.48584615384615387,-0.4630769230769231,65,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""F"", ""NP*"", ""P*""]"
17,MAT 021B Calculus,MAT,021B,20,"","",4,,,1,-0.5188492555831266,-0.4977698511166253,3224,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*"", ""RW"", ""Y""]"
18,MAT 021C Calculus,MAT,021C,17,"","",4,,,2,-0.6115875299760192,-0.5438177458033573,2085,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*"", ""RW"", ""Y""]"
19,MAT 021D Vector Analysis,MAT,021D,18,"","",4,,,3,-0.38784214945424017,-0.29442485306465155,1191,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NG"", ""NP*"", ""P*"", ""RW"", ""Y""]"
20,MAT 021A Calculus,MAT,021A,"","","",4,,,1,-0.3247931338028169,-0.3174163732394366,2272,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*"", ""RD"", ""RW"", ""Y""]"
21,MAT 022A Linear Algebra,MAT,022A,18,22,"",3,,,4,-0.3027013963480129,-0.2573576799140709,1862,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*"", ""RW"", ""Y""]"
22,MAT 022AL Linear Algebra Comp Lab,MAT,022AL,18,"","",1,,,4,,,1394,202203,200010,"["""", ""NC"", ""NP"", ""P""]"
23,MAT 022B Differential Equations,MAT,022B,21,"","",3,,,5,-0.28325074331020816,-0.2958572844400396,1009,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
24,PHY 040 Intr Physics Computation,PHY,040,"","","",4,,,6,0.5263636363636364,0.44831168831168833,77,202110,201903,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""F"", ""NP*""]"
25,PHY 080 Experimental Techniques,PHY,080,28,"","",4,,,9,0.04579710144927538,0.012898550724637699,69,202201,201901,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""I"", ""NP*"", ""P*""]"
26,PHY 009B Classical Physics,PHY,009B,27;18,19,"",5,,,4,-0.45986,-0.29641,1000,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*""]"
27,PHY 009A Classical Physics,PHY,009A,17,"","",5,,,3,-0.5993810786914235,-0.4216976127320955,1131,202201,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*"", ""RW"", ""Y""]"
28,PHY 009D Modern Physics,PHY,009D,29;21,"","",4,,,6,-0.00898876404494383,-0.03078651685393258,267,202110,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
29,PHY 009C Classical Physics,PHY,009C,26;19;21,"","",5,,,5,-0.4163980099502488,-0.4140099502487562,1005,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*"", ""Y""]"
Overall Average,"","","","","","","","","","",-0.1928512212467849,-0.17118692709365463
