Curriculum,LPHY - Physics (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,40.0801
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,PHY 104A Intro Math Phys,PHY,104A,29;22;24;26,"","",4,,,7,-0.07284722222222223,-0.10875000000000001,144,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""NP*"", ""P*""]"
2,PHY 105A Analytical Mechanic,PHY,105A,29;22;24;26,"","",4,,,7,-0.5397297297297298,-0.4008108108108108,74,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""NP*"", ""P*""]"
3,PHY 105B Analytical Mechanic,PHY,105B,1;2,"","",4,,,8,-0.16469135802469137,-0.2502469135802469,81,202101,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C-"", ""C+"", ""D+"", ""F"", ""I"", ""NP*""]"
4,PHY 110A Electricity & Magnetism,PHY,110A,29;22;24;26;1;2,"","",4,,,8,-0.341328125,-0.293046875,128,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*""]"
5,PHY 110B Electricty & Magnetsm,PHY,110B,4;1,"","",4,,,9,-0.31,-0.35141509433962265,106,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
6,PHY 110C Electricty & Magnetsm,PHY,110C,5,"","",4,,,10,-0.48584615384615387,-0.4630769230769231,65,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""F"", ""NP*"", ""P*""]"
7,PHY 112 Thermo & Stat Physics,PHY,112,8,"","",4,,,10,-0.05487603305785124,0.10966942148760331,121,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""I"", ""P*""]"
8,PHY 115A Quantum Mechanics,PHY,115A,1;2,"","",4,,,9,-0.24207207207207204,-0.24711711711711712,111,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
9,PHY 115B Quantum Mechanics,PHY,115B,8,"","",4,,,10,-0.24802083333333333,-0.09937499999999998,96,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*""]"
10,PHY 102 Computationl Lab Phyiscs,PHY,102,22;24;26;31;27,1,"",1,,,7,0.10525423728813564,0.12288135593220341,59,202110,200410,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
11,PHY 199 Special Study,PHY,199,"","","",5,,,8,,,35,202203,200010,"["""", ""P""]"
12,PHY 116A Electronics,PHY,116A,32;26,"","",4,,,8,-0.19189655172413791,-0.14172413793103447,58,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""I"", ""NP*"", ""P*""]"
13,PHY 116B Electronics,PHY,116B,32,"","",4,,,8,0.3272916666666667,0.31854166666666667,48,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C+"", ""F"", ""NP*"", ""P*""]"
14,PHY 116C Computers in Phys Expts,PHY,116C,31;13;26,"","",4,,,9,0.6044117647058823,0.5338235294117647,34,202103,200403,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C+"", ""NP*""]"
15,PHY 140A Solid State Physics,PHY,140A,8,"","",4,,,11,-0.15756097560975613,-0.3595121951219512,41,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""I"", ""NP*"", ""P*""]"
16,PHY 130A Elem Part Physics,PHY,130A,8,"","",4,,,11,-0.1483333333333333,-0.28374999999999995,48,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D+"", ""F"", ""NP*"", ""P*""]"
