Curriculum,LPOL - Political Science (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,45.1001
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,POL 003 Internatl Relations,POL,003,"","","",4,,,3,-0.11241565452091766,-0.1276923076923077,741,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""I"", ""D"", ""D-"", ""B+"", ""A""]"
2,POL 002 Intro Comp Politics,POL,002,"",1,"",4,,,3,-0.014550264550264532,-0.053611111111111096,756,202110,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
3,POL 001 Amer Natl Govt,POL,001,"",2,"",4,,,3,-0.13489184692179698,-0.21422628951747089,601,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""I"", ""D"", ""D-"", ""B+"", ""A""]"
4,POL 004 Bas Cnpt/Pol Thry,POL,004,"",3,"",4,,,4,-0.48507389162561576,-0.5125369458128078,406,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*""]"
5,POL 051 Scientific Study Politic,POL,051,"",4,"",4,,,4,-0.14222052067381316,-0.15163859111791728,653,202201,200401,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
6,STA 013 Elementary Statistics,STA,013,"",5,"",4,,,4,-0.21557105775470473,-0.2641336794289422,3082,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW"", ""Y""]"
7,POL 104 CA State Govt & Politics,POL,104,"",6,"",4,,,7,-0.1894375,-0.18006250000000001,160,202201,200207,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
8,POL 150 Judicial Politics,POL,150,"",7,"",4,,,8,-0.0933492822966507,-0.14526315789473682,209,202110,200301,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""I"", ""P*"", ""RW""]"
9,POL 105 Legislative Process,POL,105,"",8,"",4,,,8,0.23715415019762845,0.09798418972332017,253,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""NP*"", ""P*""]"
10,POL 165 Mass Media & Politics,POL,165,"",9,"",4,,,8,0.49214521452145216,0.42996699669967,303,201910,200210,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""I"", ""NP*"", ""P*""]"
11,POL 122 International Law,POL,122,"",10,"",4,,,8,-0.12874345549738217,-0.2890575916230366,191,202201,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
12,POL 123 Pol of Interdependence,POL,123,"",11,"",4,,,8,-0.022999999999999993,-0.09617241379310344,290,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
13,POL 132 National Security Policy,POL,132,"",12,"",4,,,9,0.338125,0.3061979166666667,192,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D"", ""F"", ""I"", ""NP*"", ""P*""]"
14,POL 126 Ethnic Conflict,POL,126,"",13,"",4,,,7,-0.45199999999999996,-0.24000000000000002,15,202201,200010,"[""A"", ""A-"", ""A+"", ""B-"", ""B+"", ""C"", ""D"", ""F"", ""P*""]"
15,POL 147B British Politics,POL,147B,"",14,"",4,,,9,0.4425206611570248,0.36801652892561987,242,202110,200803,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""P*""]"
16,POL 151 Constitutional Politics,POL,151,"",15,"",4,,,7,-0.03422360248447202,-0.057950310559006186,161,202110,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D+"", ""F"", ""NP*"", ""P*"", ""RW"", ""Y""]"
Overall Average,"","","","","","","","","","",-0.03222075315309451,-0.07063620415844771
